Detroit,Charlotte,time_rem
19-45,31-32,48M 0S
0,2,47M 39S
2,2,47M 14S
2,3,45M 13S
2,4,45M 13S
4,4,44M 56S
4,6,44M 23S
6,6,44M 2S
6,8,43M 35S
6,9,42M 58S
8,9,42M 39S
8,11,42M 14S
8,13,40M 44S
11,13,40M 33S
11,15,40M 17S
12,15,40M 4S
13,15,40M 4S
16,15,39M 22S
16,17,38M 55S
18,17,38M 33S
18,19,38M 30S
18,20,38M 11S
18,22,37M 51S
18,24,37M 30S
18,26,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,26,35M 39S
21,26,35M 39S
21,28,35M 23S
24,28,34M 56S
25,28,34M 56S
26,28,34M 28S
27,28,34M 28S
27,30,34M 7S
28,30,33M 31S
30,30,33M 9S
32,30,32M 38S
32,33,32M 18S
32,36,31M 45S
34,36,31M 8S
34,38,30M 56S
34,41,30M 25S
34,44,29M 43S
34,47,28M 54S
34,49,28M 25S
36,49,28M 18S
36,51,27M 46S
36,53,27M 27S
36,55,26M 46S
39,55,25M 39S
41,55,25M 10S
42,55,24M 44S
42,57,24M 33S
42,58,24M 33S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,58,23M 40S
45,58,23M 40S
45,60,23M 17S
45,63,22M 51S
47,63,21M 36S
47,66,21M 13S
50,66,19M 22S
50,69,19M 8S
50,70,18M 30S
50,71,18M 30S
52,71,17M 44S
55,71,17M 26S
56,71,16M 55S
58,71,16M 47S
58,73,16M 30S
60,73,16M 14S
60,75,15M 15S
60,77,14M 37S
62,77,14M 23S
65,77,13M 45S
66,77,13M 45S
68,77,13M 18S
70,77,12M 30S
70,79,12M 9S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
70,81,11M 20S
73,81,11M 11S
73,83,10M 49S
75,83,10M 33S
77,83,10M 5S
80,83,9M 33S
80,84,9M 15S
80,85,9M 15S
80,88,9M 0S
80,91,8M 7S
80,94,7M 10S
80,96,6M 24S
83,96,5M 2S
85,96,4M 14S
85,98,3M 56S
88,98,2M 54S
91,98,2M 8S
91,101,1M 50S
94,101,1M 36S
94,104,1M 10S
94,107,40S
End of 4th quarter,NA,0S
