Orlando,Cleveland,time_rem
19-43,21-41,48M 0S
0,0,47M 45S
0,2,47M 14S
3,2,47M 0S
5,2,45M 53S
7,2,44M 54S
7,4,44M 44S
7,5,44M 1S
7,6,44M 1S
7,7,43M 42S
10,7,43M 28S
13,7,42M 18S
13,8,42M 4S
15,8,41M 39S
15,10,41M 17S
17,10,40M 58S
17,12,40M 40S
17,14,40M 1S
19,14,39M 44S
22,14,37M 44S
22,16,37M 10S
24,16,36M 56S
25,16,36M 23S
26,16,36M 23S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,16,35M 47S
29,16,35M 47S
29,19,35M 33S
29,22,35M 3S
31,22,33M 33S
31,24,33M 19S
31,26,32M 51S
33,26,32M 37S
33,29,32M 23S
33,32,31M 16S
36,32,30M 36S
36,34,30M 21S
38,34,30M 0S
38,35,28M 51S
38,36,28M 51S
38,38,27M 35S
41,38,27M 14S
41,39,26M 38S
41,40,26M 38S
43,40,26M 23S
44,40,25M 54S
45,40,25M 16S
48,40,25M 7S
48,42,24M 40S
50,42,24M 33S
50,44,24M 10S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,44,23M 23S
52,46,22M 20S
54,46,22M 10S
54,47,21M 59S
57,47,21M 41S
59,47,21M 23S
61,47,21M 0S
61,49,20M 38S
63,49,19M 58S
63,51,19M 10S
65,51,18M 44S
67,51,18M 22S
69,51,17M 6S
69,53,16M 55S
71,53,16M 35S
71,56,16M 20S
73,56,15M 39S
76,56,14M 50S
78,56,13M 58S
78,58,13M 46S
78,61,12M 59S
79,61,12M 36S
82,61,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,63,11M 23S
84,63,11M 10S
86,63,10M 42S
86,65,10M 36S
86,66,10M 36S
86,69,9M 45S
88,69,9M 4S
88,72,8M 30S
88,74,8M 15S
90,74,8M 5S
90,77,7M 44S
90,78,7M 23S
92,78,7M 7S
92,80,6M 45S
Jump ball: I. Okoro vs. C. Anthony (C. Osman gains possession),NA,6M 22S
92,83,6M 5S
92,85,5M 51S
93,85,4M 56S
93,88,4M 42S
94,88,4M 37S
95,88,4M 37S
97,88,4M 18S
97,89,3M 59S
97,90,3M 59S
98,90,3M 50S
98,92,3M 41S
100,92,2M 45S
100,93,2M 30S
100,94,2M 30S
100,96,2M 18S
100,97,2M 2S
100,98,2M 2S
102,98,1M 38S
102,100,1M 30S
102,101,1M 30S
104,101,1M 11S
104,104,1M 3S
106,104,45S
107,104,21S
108,104,21S
109,104,11S
End of 4th quarter,NA,0S
