Sacramento,Dallas,time_rem
23-34,30-26,48M 0S
0,0,47M 40S
2,0,46M 58S
3,0,46M 58S
5,0,46M 9S
8,0,45M 13S
8,3,44M 49S
10,3,44M 6S
12,3,43M 30S
12,4,43M 19S
14,4,43M 4S
14,5,42M 46S
14,8,42M 5S
16,8,41M 42S
18,8,41M 19S
20,8,40M 50S
20,10,40M 8S
20,12,39M 48S
20,14,38M 13S
20,15,38M 13S
22,15,37M 52S
22,16,37M 46S
22,18,36M 57S
22,19,36M 33S
22,20,36M 33S
Jump ball: T. Hardaway vs. D. Wright (L. Dončić gains possession),NA,36M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,21,35M 50S
24,21,35M 30S
25,21,35M 4S
25,23,34M 5S
25,24,33M 39S
25,25,33M 39S
27,25,33M 24S
27,27,33M 10S
29,27,32M 48S
31,27,32M 30S
31,30,32M 18S
34,30,32M 1S
37,30,31M 37S
37,32,31M 9S
39,32,31M 0S
42,32,30M 22S
42,34,29M 49S
45,34,29M 33S
45,36,29M 12S
45,39,28M 43S
47,39,28M 31S
47,42,28M 14S
49,42,28M 4S
51,42,27M 45S
53,42,27M 14S
56,42,26M 46S
56,44,26M 25S
58,44,26M 18S
60,44,25M 53S
60,45,25M 40S
62,45,25M 32S
62,48,25M 19S
65,48,24M 35S
65,50,24M 31S
67,50,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,53,23M 6S
67,54,22M 45S
68,54,22M 24S
69,54,22M 24S
70,54,21M 36S
71,54,21M 36S
71,57,21M 12S
74,57,20M 55S
76,57,20M 36S
76,59,19M 45S
78,59,19M 32S
80,59,18M 51S
80,62,18M 27S
80,64,17M 51S
80,67,17M 25S
82,67,16M 51S
82,69,16M 36S
82,71,16M 3S
82,74,15M 36S
84,74,15M 12S
85,74,14M 34S
86,74,14M 34S
86,75,14M 20S
86,77,12M 35S
87,77,12M 27S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,79,11M 30S
87,81,11M 1S
90,81,10M 48S
90,83,9M 53S
93,83,9M 32S
93,86,9M 8S
95,86,8M 53S
98,86,8M 35S
98,88,8M 17S
98,91,7M 36S
99,91,6M 43S
100,91,6M 43S
100,93,6M 22S
102,93,6M 7S
102,96,5M 38S
104,96,5M 12S
104,98,4M 36S
105,98,4M 25S
106,98,4M 25S
107,98,4M 25S
107,100,4M 11S
109,100,3M 56S
109,103,3M 30S
111,103,3M 10S
112,103,2M 45S
113,103,2M 45S
113,106,2M 32S
113,107,1M 51S
115,107,1M 30S
116,107,1M 12S
117,107,1M 12S
118,107,1M 2S
119,107,1M 2S
120,107,36S
121,107,36S
End of 4th quarter,NA,0S
