New York,Atlanta,time_rem
1-3,3-1,48M 0S
0,2,47M 45S
2,2,46M 44S
2,4,46M 8S
4,4,45M 37S
7,4,44M 51S
7,6,43M 54S
9,6,43M 35S
9,8,42M 58S
9,11,42M 30S
9,13,41M 53S
12,13,41M 33S
12,15,41M 13S
15,15,40M 49S
17,15,40M 5S
17,16,39M 57S
17,17,39M 57S
17,19,39M 24S
17,20,39M 24S
19,20,38M 13S
21,20,37M 46S
21,22,36M 55S
22,22,36M 47S
23,22,36M 47S
26,22,36M 23S
26,25,36M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,25,35M 47S
28,25,35M 47S
30,25,35M 8S
30,28,34M 24S
30,31,33M 53S
30,34,33M 27S
32,34,33M 2S
32,35,32M 42S
34,35,31M 38S
36,35,31M 3S
36,36,30M 19S
36,37,30M 19S
38,37,29M 31S
38,39,29M 26S
38,40,29M 26S
38,43,29M 0S
40,43,28M 41S
42,43,27M 44S
44,43,27M 19S
44,46,27M 1S
44,48,26M 36S
44,51,26M 22S
46,51,26M 6S
47,51,25M 22S
48,51,25M 22S
48,52,24M 37S
48,53,24M 37S
49,53,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,56,23M 30S
49,58,22M 55S
51,58,22M 13S
51,60,21M 46S
51,62,21M 7S
51,63,21M 7S
54,63,20M 47S
54,65,20M 22S
54,68,19M 44S
56,68,19M 21S
58,68,18M 21S
59,68,18M 21S
61,68,17M 41S
61,69,17M 15S
61,70,17M 15S
61,71,16M 47S
61,72,16M 47S
61,73,16M 17S
61,76,16M 11S
61,77,15M 35S
61,78,15M 35S
62,78,15M 14S
63,78,15M 14S
63,79,15M 1S
63,80,15M 1S
65,80,14M 48S
68,80,13M 30S
68,83,13M 0S
71,83,12M 49S
71,85,12M 31S
71,88,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,90,11M 15S
72,90,10M 59S
74,90,10M 54S
74,92,10M 17S
74,95,9M 54S
74,97,9M 21S
74,98,8M 17S
74,99,8M 17S
76,99,8M 5S
76,100,7M 43S
76,101,7M 43S
77,101,7M 30S
78,101,7M 30S
78,103,7M 10S
80,103,5M 59S
80,105,5M 7S
83,105,4M 45S
83,108,4M 20S
85,108,4M 5S
85,110,3M 35S
85,111,3M 30S
86,111,3M 21S
87,111,3M 21S
87,112,3M 5S
87,113,3M 5S
88,113,2M 48S
89,113,2M 48S
90,113,2M 32S
91,113,2M 32S
94,113,2M 6S
96,113,1M 14S
End of 4th quarter,NA,0S
