Sacramento,New Orleans,time_rem
9-11,7-12,48M 0S
2,0,47M 35S
2,3,47M 18S
5,3,47M 3S
5,5,46M 16S
8,5,46M 7S
8,7,45M 37S
9,7,45M 31S
10,7,45M 31S
12,7,44M 59S
12,9,44M 44S
12,10,44M 44S
14,10,44M 30S
14,12,44M 16S
16,12,44M 8S
16,14,43M 35S
18,14,43M 3S
18,15,42M 22S
18,16,42M 6S
18,17,42M 6S
18,20,41M 33S
20,20,41M 20S
22,20,40M 35S
22,22,40M 24S
24,22,39M 26S
24,23,39M 19S
24,26,38M 59S
26,26,37M 35S
27,26,37M 35S
27,28,37M 15S
27,30,36M 31S
29,30,36M 8S
30,30,36M 8S
30,31,36M 0S
30,32,36M 0S
30,33,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,34,34M 54S
30,35,34M 54S
33,35,34M 34S
33,37,33M 46S
33,39,32M 45S
35,39,32M 37S
36,39,31M 59S
37,39,31M 59S
39,39,31M 26S
39,41,30M 36S
41,41,30M 21S
41,44,30M 11S
44,44,29M 10S
44,46,28M 51S
44,49,28M 33S
47,49,28M 1S
49,49,27M 31S
49,50,27M 19S
49,52,26M 51S
51,52,26M 38S
51,53,26M 24S
51,54,26M 24S
51,56,25M 59S
51,58,25M 13S
54,58,24M 58S
54,60,24M 47S
56,60,24M 32S
56,62,24M 16S
57,62,24M 16S
60,62,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,62,22M 37S
61,63,22M 18S
61,64,22M 18S
61,65,22M 18S
62,65,21M 12S
63,65,21M 12S
66,65,20M 15S
66,67,19M 59S
67,67,19M 54S
68,67,19M 54S
68,69,19M 43S
70,69,19M 27S
70,71,19M 15S
72,71,18M 59S
72,74,18M 49S
74,74,18M 24S
74,76,18M 5S
74,79,17M 29S
74,81,16M 44S
75,81,15M 40S
75,83,15M 26S
75,85,15M 3S
77,85,14M 35S
78,85,14M 35S
78,86,14M 18S
78,87,14M 18S
81,87,14M 2S
81,90,13M 41S
84,90,13M 24S
84,92,12M 36S
84,94,12M 26S
87,94,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,97,11M 36S
90,97,10M 53S
93,97,10M 10S
93,99,9M 43S
95,99,9M 26S
96,99,9M 26S
96,100,9M 14S
98,100,7M 59S
101,100,7M 7S
101,102,5M 40S
103,102,5M 22S
105,102,4M 58S
105,104,4M 42S
105,106,4M 20S
107,106,3M 34S
108,106,2M 24S
109,106,2M 24S
111,106,1M 57S
111,107,1M 52S
113,107,1M 8S
115,107,33S
116,107,25S
116,109,18S
117,109,12S
118,109,12S
End of 4th quarter,NA,0S
