Oklahoma City,Dallas,time_rem
14-21,18-16,48M 0S
0,0,47M 44S
0,2,47M 39S
2,2,47M 17S
2,4,47M 6S
5,4,46M 29S
5,6,46M 9S
7,6,45M 50S
7,8,45M 25S
7,9,44M 52S
7,10,44M 52S
7,11,44M 9S
7,13,43M 42S
10,13,43M 29S
11,13,42M 19S
12,13,42M 19S
15,13,41M 52S
15,15,40M 35S
15,17,39M 7S
17,17,38M 40S
17,20,38M 15S
20,20,37M 59S
20,22,37M 27S
20,23,37M 27S
22,23,37M 10S
23,23,36M 48S
23,24,36M 5S
23,25,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,27,34M 58S
25,27,34M 18S
25,28,33M 47S
25,30,33M 24S
27,30,33M 15S
28,30,33M 15S
28,32,33M 0S
30,32,32M 48S
30,34,31M 52S
30,35,31M 52S
33,35,31M 39S
35,35,30M 33S
35,36,29M 57S
35,37,29M 57S
35,39,29M 37S
36,39,29M 23S
37,39,29M 23S
37,41,29M 12S
38,41,28M 20S
39,41,28M 20S
39,42,27M 42S
41,42,27M 23S
41,44,27M 12S
41,46,25M 9S
41,47,25M 9S
42,47,25M 4S
42,49,24M 50S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,49,23M 13S
44,51,22M 54S
44,53,21M 58S
47,53,21M 39S
48,53,20M 36S
48,55,20M 16S
50,55,20M 2S
52,55,19M 36S
52,57,19M 6S
52,59,18M 23S
52,62,17M 59S
54,62,16M 23S
54,65,16M 5S
54,68,15M 5S
54,69,14M 46S
54,70,14M 46S
54,73,14M 13S
56,73,13M 31S
59,73,12M 28S
59,75,12M 14S
61,75,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
63,75,11M 36S
63,78,11M 13S
64,78,8M 54S
64,81,8M 9S
64,84,7M 42S
64,86,6M 54S
66,86,6M 37S
69,86,4M 25S
69,87,3M 24S
71,87,2M 54S
73,87,2M 5S
76,87,52S
78,87,16S
End of 4th quarter,NA,0S
