Washington,Atlanta,time_rem
32-37,38-31,48M 0S
0,2,47M 41S
2,2,47M 31S
2,4,47M 7S
2,6,46M 44S
2,8,45M 0S
5,8,44M 46S
8,8,44M 27S
8,11,44M 5S
8,13,43M 1S
10,13,42M 38S
11,13,42M 38S
11,15,42M 8S
11,18,41M 43S
13,18,41M 28S
13,19,41M 12S
13,20,41M 12S
15,20,40M 54S
17,20,40M 36S
19,20,40M 13S
19,22,39M 55S
21,22,39M 21S
21,24,39M 13S
21,26,38M 41S
23,26,38M 24S
23,28,38M 12S
24,28,38M 3S
25,28,38M 3S
25,30,37M 53S
28,30,37M 45S
28,32,37M 15S
30,32,36M 37S
30,34,36M 28S
32,34,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,36,35M 36S
32,38,34M 43S
34,38,34M 0S
34,40,33M 39S
36,40,33M 20S
37,40,32M 29S
40,40,32M 6S
42,40,31M 44S
42,42,31M 27S
44,42,31M 20S
44,44,31M 9S
46,44,30M 27S
46,47,30M 17S
46,48,29M 51S
46,49,29M 51S
48,49,29M 32S
50,49,29M 17S
51,49,29M 17S
51,51,29M 6S
53,51,28M 3S
55,51,27M 41S
55,53,27M 20S
58,53,26M 51S
58,56,26M 20S
60,56,26M 5S
62,56,25M 26S
62,59,25M 5S
62,61,24M 41S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,64,23M 29S
62,66,22M 59S
62,67,22M 59S
64,67,22M 47S
66,67,21M 55S
66,69,21M 33S
68,69,21M 11S
68,70,21M 4S
68,71,21M 4S
71,71,20M 33S
71,73,20M 17S
71,75,19M 54S
71,78,19M 33S
71,80,19M 0S
73,80,17M 47S
73,82,17M 7S
73,83,16M 48S
73,84,16M 48S
73,86,16M 22S
73,88,15M 53S
75,88,15M 37S
77,88,14M 55S
79,88,14M 18S
79,89,14M 1S
79,90,14M 1S
79,91,14M 1S
79,93,13M 28S
79,96,12M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,98,11M 45S
81,98,11M 25S
81,100,11M 9S
83,100,10M 59S
86,100,10M 26S
88,100,9M 54S
90,100,9M 37S
93,100,9M 0S
96,100,8M 15S
96,101,7M 55S
98,101,7M 45S
100,101,7M 26S
100,104,6M 57S
101,104,6M 49S
102,104,6M 49S
102,105,6M 44S
102,106,6M 44S
102,107,6M 12S
102,108,6M 12S
102,110,5M 46S
104,110,5M 36S
104,113,5M 15S
105,113,5M 1S
106,113,5M 1S
106,114,4M 53S
106,115,4M 53S
109,115,4M 36S
112,115,4M 14S
112,117,3M 51S
115,117,3M 34S
115,119,3M 13S
118,119,2M 23S
118,121,2M 8S
120,121,1M 55S
120,122,1M 32S
120,123,1M 32S
122,123,52S
122,124,39S
122,125,39S
124,125,30S
End of 4th quarter,NA,0S
