Chicago,Houston,time_rem
14-16,11-18,48M 0S
0,0,47M 36S
2,0,47M 11S
2,3,46M 50S
2,5,46M 8S
5,5,45M 55S
6,5,45M 37S
7,5,45M 37S
9,5,44M 51S
11,5,44M 29S
11,7,44M 15S
14,7,43M 46S
16,7,43M 24S
18,7,42M 56S
20,7,42M 21S
22,7,41M 57S
22,8,41M 27S
22,9,41M 27S
23,9,41M 8S
Jump ball: W. Carter vs. D. Nwaba (T. Young gains possession),NA,40M 46S
23,12,40M 7S
23,13,39M 18S
23,14,39M 18S
26,14,38M 59S
26,16,38M 38S
28,16,38M 13S
28,19,37M 57S
28,21,37M 27S
29,21,37M 4S
29,23,36M 29S
29,24,36M 29S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,26,35M 39S
31,26,34M 33S
31,29,33M 47S
31,30,33M 11S
31,32,32M 54S
31,35,32M 28S
33,35,32M 12S
33,36,32M 4S
35,36,31M 51S
38,36,31M 17S
38,38,30M 27S
40,38,29M 34S
42,38,28M 38S
42,40,27M 49S
44,40,27M 28S
46,40,26M 41S
48,40,26M 8S
48,43,26M 0S
50,43,25M 40S
50,45,25M 28S
52,45,25M 6S
52,48,24M 58S
54,48,24M 45S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,50,23M 12S
56,50,22M 47S
56,51,22M 33S
58,51,22M 3S
58,52,21M 58S
58,53,21M 58S
61,53,21M 45S
61,55,21M 33S
64,55,21M 11S
66,55,20M 37S
66,57,20M 27S
68,57,20M 14S
69,57,20M 14S
71,57,19M 51S
73,57,19M 20S
73,60,19M 6S
76,60,18M 51S
76,63,18M 16S
79,63,17M 56S
81,63,17M 31S
81,65,17M 22S
84,65,17M 5S
86,65,16M 39S
86,67,15M 38S
89,67,15M 25S
91,67,14M 48S
93,67,14M 18S
96,67,13M 54S
98,67,13M 14S
98,69,13M 1S
98,72,12M 24S
100,72,12M 4S
100,74,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
100,76,11M 6S
103,76,10M 48S
103,78,9M 44S
104,78,9M 26S
105,78,9M 26S
105,80,9M 18S
108,80,9M 2S
108,82,7M 22S
108,83,7M 22S
111,83,7M 5S
114,83,6M 32S
114,86,6M 16S
114,89,5M 44S
114,91,5M 16S
114,93,4M 53S
114,94,4M 24S
114,95,4M 24S
116,95,4M 10S
118,95,2M 51S
120,95,1M 28S
120,98,1M 19S
120,100,30S
End of 4th quarter,NA,0S
