Dallas,Milwaukee,time_rem
6-5,9-4,48M 0S
0,0,47M 42S
2,0,47M 23S
4,0,46M 40S
4,2,46M 4S
6,2,45M 50S
6,4,45M 13S
8,4,44M 59S
8,6,44M 52S
10,6,44M 9S
10,7,43M 52S
10,9,43M 29S
10,12,43M 4S
10,14,42M 31S
10,15,42M 31S
10,18,42M 5S
13,18,41M 32S
13,20,40M 4S
15,20,39M 27S
15,23,38M 46S
18,23,38M 12S
20,23,37M 37S
20,25,37M 5S
20,28,36M 54S
22,28,36M 35S
23,28,36M 16S
23,30,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,33,35M 15S
25,33,35M 3S
25,35,34M 54S
25,37,34M 37S
28,37,34M 12S
29,37,33M 47S
29,39,33M 30S
29,41,32M 45S
29,43,32M 11S
31,43,31M 56S
33,43,31M 28S
35,43,30M 23S
35,45,30M 4S
36,45,29M 40S
38,45,29M 5S
38,47,28M 31S
40,47,27M 57S
43,47,26M 47S
44,47,26M 17S
44,49,25M 58S
47,49,25M 43S
47,52,24M 41S
47,55,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,55,23M 6S
51,55,22M 20S
53,55,22M 2S
54,55,22M 2S
54,57,21M 22S
54,58,21M 22S
54,60,20M 43S
54,63,20M 13S
57,63,19M 56S
59,63,19M 3S
59,65,18M 50S
62,65,18M 32S
62,68,18M 20S
65,68,18M 1S
67,68,17M 26S
67,70,17M 17S
67,72,16M 52S
67,73,16M 52S
69,73,16M 15S
69,74,15M 40S
69,75,15M 40S
72,75,15M 4S
72,78,14M 46S
74,78,14M 30S
74,80,14M 19S
76,80,13M 35S
78,80,13M 13S
78,82,12M 51S
81,82,12M 31S
81,83,12M 9S
81,84,12M 9S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,84,11M 30S
83,86,11M 9S
85,86,10M 52S
85,88,10M 39S
88,88,10M 14S
88,90,10M 1S
88,91,10M 1S
88,94,8M 51S
90,94,8M 39S
90,96,8M 21S
92,96,7M 59S
94,96,7M 33S
94,98,7M 18S
94,100,6M 33S
96,100,6M 13S
99,100,5M 33S
99,103,4M 1S
101,103,3M 41S
104,103,3M 9S
105,103,2M 39S
105,106,2M 21S
105,109,1M 47S
107,109,1M 38S
107,110,7S
107,111,7S
109,111,2S
109,112,1S
End of 4th quarter,NA,0S
