Orlando,Philadelphia,time_rem
21-50,48-23,48M 0S
0,0,47M 48S
0,2,46M 42S
0,3,45M 42S
0,4,45M 42S
0,5,45M 16S
0,6,45M 16S
0,8,44M 11S
3,8,43M 58S
3,11,43M 46S
6,11,43M 31S
6,14,43M 4S
9,14,42M 25S
11,14,41M 43S
14,14,41M 15S
14,15,40M 19S
14,16,40M 19S
14,17,40M 1S
14,18,40M 1S
17,18,39M 41S
17,20,39M 22S
20,20,39M 5S
22,20,38M 9S
22,23,37M 49S
22,25,37M 5S
24,25,36M 37S
24,27,36M 25S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,29,35M 47S
24,31,34M 48S
24,34,33M 55S
26,34,33M 39S
26,37,33M 25S
28,37,33M 5S
28,39,32M 32S
30,39,32M 8S
30,42,32M 1S
Jump ball: M. Bamba vs. B. Simmons (R. Hampton gains possession),NA,31M 42S
30,44,31M 27S
32,44,31M 7S
32,45,31M 2S
32,46,31M 2S
32,48,30M 45S
32,50,30M 1S
34,50,29M 9S
34,53,28M 53S
34,55,28M 24S
34,56,28M 4S
34,57,27M 16S
35,57,27M 16S
36,57,27M 16S
36,59,27M 6S
38,59,26M 42S
38,62,26M 15S
40,62,25M 55S
40,64,25M 28S
41,64,24M 41S
41,65,24M 36S
41,66,24M 36S
43,66,24M 23S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
43,67,22M 29S
43,68,22M 29S
44,68,22M 8S
45,68,22M 8S
48,68,21M 37S
48,70,21M 21S
51,70,20M 48S
51,73,20M 7S
51,76,19M 25S
52,76,19M 7S
53,76,19M 7S
53,79,18M 57S
55,79,18M 40S
55,81,17M 51S
57,81,17M 37S
58,81,17M 37S
58,83,17M 26S
60,83,16M 36S
60,86,16M 27S
60,88,15M 48S
60,91,15M 20S
62,91,14M 58S
62,93,14M 34S
62,94,14M 34S
64,94,13M 19S
66,94,12M 44S
66,96,12M 22S
67,96,12M 4S
68,96,12M 4S
69,96,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,96,11M 46S
71,98,11M 6S
Jump ball: M. Scott vs. I. Brazdeikis (S. Milton gains possession),NA,10M 7S
71,100,9M 59S
73,100,7M 40S
76,100,7M 15S
76,102,6M 58S
76,103,6M 58S
77,103,6M 45S
78,103,6M 45S
78,105,6M 31S
79,105,6M 18S
80,105,6M 18S
80,107,6M 7S
82,107,5M 54S
84,107,4M 49S
84,110,4M 31S
84,112,3M 38S
86,112,3M 24S
87,112,3M 24S
90,112,2M 54S
91,112,2M 41S
92,112,2M 41S
93,112,2M 15S
94,112,2M 15S
94,115,1M 54S
94,117,1M 35S
94,119,1M 13S
95,119,1M 3S
95,122,45S
97,122,37S
End of 4th quarter,NA,0S
