Denver,Miami,time_rem
11-7,6-11,48M 0S
0,0,47M 38S
2,0,46M 54S
2,2,46M 37S
2,4,46M 2S
5,4,45M 10S
7,4,44M 14S
9,4,43M 56S
11,4,42M 46S
11,5,42M 28S
12,5,42M 16S
13,5,42M 16S
15,5,41M 42S
15,7,41M 24S
18,7,41M 9S
18,9,40M 59S
20,9,40M 49S
22,9,40M 15S
24,9,39M 15S
24,12,37M 18S
26,12,36M 41S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,14,34M 47S
28,14,34M 26S
28,17,33M 46S
29,17,33M 30S
30,17,33M 30S
32,17,32M 46S
34,17,32M 33S
34,19,32M 21S
34,20,32M 21S
36,20,31M 45S
39,20,31M 27S
39,23,31M 2S
39,26,29M 57S
41,26,29M 7S
43,26,28M 43S
44,26,28M 43S
46,26,27M 58S
47,26,27M 58S
47,29,27M 39S
47,30,26M 46S
47,31,26M 46S
49,31,26M 29S
51,31,26M 9S
53,31,25M 46S
56,31,24M 47S
56,33,24M 38S
58,33,24M 19S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,36,23M 38S
58,37,22M 6S
58,38,22M 6S
58,40,21M 52S
58,42,21M 13S
61,42,20M 18S
61,45,19M 45S
63,45,19M 0S
Jump ball: B. Adebayo vs. P. Millsap (G. Harris gains possession),NA,18M 44S
63,48,17M 53S
65,48,17M 10S
65,50,16M 54S
65,52,16M 18S
68,52,16M 5S
69,52,15M 38S
70,52,15M 38S
70,55,14M 34S
72,55,13M 57S
74,55,13M 24S
74,58,13M 11S
74,61,12M 45S
74,63,12M 27S
74,65,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,65,11M 43S
77,67,11M 26S
77,70,10M 39S
80,70,10M 23S
83,70,9M 26S
83,71,8M 16S
83,72,8M 16S
84,72,8M 0S
85,72,8M 0S
88,72,7M 8S
88,74,6M 23S
91,74,6M 10S
94,74,5M 35S
96,74,4M 9S
97,74,4M 9S
97,76,3M 30S
99,76,3M 13S
99,78,1M 52S
102,78,1M 20S
102,81,1M 10S
104,81,59S
107,81,38S
107,82,31S
109,82,16S
End of 4th quarter,NA,0S
