LA Lakers,New York,time_rem
33-21,28-27,48M 0S
0,0,47M 39S
2,0,47M 35S
2,3,47M 4S
2,5,46M 26S
5,5,46M 17S
5,7,46M 7S
7,7,45M 38S
10,7,44M 46S
10,9,43M 59S
10,11,43M 20S
10,13,42M 46S
10,15,42M 23S
10,16,41M 48S
10,17,41M 48S
12,17,41M 7S
12,18,40M 43S
12,19,40M 43S
15,19,40M 31S
17,19,39M 33S
18,19,39M 33S
18,21,39M 19S
20,21,39M 8S
21,21,39M 8S
21,23,38M 53S
23,23,38M 42S
23,24,37M 24S
26,24,37M 15S
28,24,36M 44S
28,26,36M 35S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,28,35M 23S
28,30,34M 52S
28,32,33M 58S
28,33,33M 13S
28,34,33M 13S
30,34,33M 3S
30,36,32M 37S
30,38,32M 12S
31,38,31M 35S
33,38,30M 51S
36,38,30M 23S
39,38,30M 1S
41,38,29M 22S
41,39,29M 6S
41,40,29M 6S
43,40,28M 49S
43,42,28M 0S
43,44,27M 40S
45,44,26M 32S
48,44,26M 1S
48,46,25M 47S
48,47,25M 47S
48,48,25M 22S
48,49,25M 22S
48,51,25M 14S
49,51,24M 51S
50,51,24M 51S
50,53,24M 44S
52,53,24M 29S
52,55,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,56,23M 47S
54,56,23M 18S
56,56,22M 45S
56,59,21M 48S
56,62,21M 23S
56,64,19M 45S
59,64,19M 34S
59,66,19M 17S
60,66,19M 0S
62,66,18M 59S
62,68,18M 8S
62,70,17M 6S
63,70,16M 54S
64,70,16M 54S
64,72,16M 47S
64,74,16M 3S
64,76,14M 12S
64,79,13M 34S
66,79,12M 54S
68,79,12M 34S
68,81,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
70,81,11M 35S
70,83,11M 15S
71,83,10M 37S
72,83,10M 37S
72,85,10M 17S
75,85,9M 57S
75,86,9M 43S
75,87,9M 43S
75,89,8M 45S
77,89,8M 39S
77,91,7M 10S
77,92,7M 10S
79,92,7M 3S
82,92,6M 35S
Jump ball: M. Gasol vs. E. Payton (M. Morris gains possession),NA,6M 14S
85,92,5M 57S
87,92,5M 14S
87,94,5M 4S
87,96,4M 26S
87,97,4M 26S
87,99,4M 2S
87,100,3M 42S
88,100,3M 37S
89,100,3M 37S
89,102,3M 10S
89,104,2M 33S
92,104,1M 52S
92,105,1M 33S
92,106,1M 33S
94,106,1M 21S
94,109,1M 7S
94,110,53S
94,111,53S
Jump ball: K. Antetokounmpo vs. N. Pelle (W. Matthews gains possession),NA,14S
95,111,10S
96,111,10S
End of 4th quarter,NA,0S
