Chicago,Portland,time_rem
4-4,3-4,48M 0S
0,3,47M 39S
2,3,47M 21S
2,6,47M 8S
5,6,46M 49S
5,9,46M 36S
5,12,46M 9S
6,12,45M 37S
8,12,43M 41S
8,14,43M 15S
10,14,43M 0S
10,17,42M 45S
10,20,42M 22S
12,20,41M 53S
12,22,41M 42S
14,22,39M 55S
15,22,39M 55S
15,23,39M 46S
17,23,39M 34S
18,23,39M 34S
18,25,39M 17S
21,25,39M 12S
21,27,38M 58S
21,30,38M 18S
21,31,37M 54S
21,32,37M 54S
21,34,37M 0S
21,36,36M 30S
21,39,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,39,35M 51S
27,39,35M 18S
27,42,35M 1S
27,44,34M 36S
27,47,33M 41S
29,47,32M 38S
32,47,31M 37S
34,47,30M 10S
35,47,29M 23S
37,47,28M 59S
40,47,28M 34S
40,50,27M 48S
43,50,27M 31S
43,52,26M 40S
45,52,25M 52S
45,54,24M 21S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,54,23M 41S
48,56,23M 21S
50,56,23M 5S
50,58,22M 45S
50,60,22M 14S
52,60,22M 0S
52,63,21M 46S
54,63,21M 31S
56,63,21M 3S
58,63,20M 45S
58,65,20M 27S
58,67,20M 1S
59,67,19M 55S
60,67,19M 55S
61,67,19M 24S
62,67,19M 24S
62,69,18M 56S
62,70,18M 33S
65,70,17M 57S
65,73,17M 42S
65,76,17M 21S
68,76,17M 5S
68,77,16M 53S
70,77,16M 34S
70,79,15M 27S
70,82,15M 7S
73,82,14M 47S
76,82,14M 10S
76,85,13M 44S
78,85,13M 17S
81,85,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,87,11M 45S
83,87,11M 30S
83,89,11M 6S
84,89,10M 34S
86,89,10M 19S
87,89,9M 51S
88,89,9M 51S
88,91,9M 32S
91,91,9M 16S
91,93,8M 39S
91,94,7M 40S
93,94,7M 10S
96,94,6M 36S
96,97,6M 17S
98,97,6M 4S
98,100,5M 14S
100,100,4M 12S
101,100,3M 34S
102,100,3M 34S
104,100,3M 5S
106,100,2M 8S
106,101,1M 41S
106,102,1M 41S
106,103,1M 41S
106,104,30S
106,105,30S
109,105,10S
109,108,5S
110,108,4S
111,108,4S
End of 4th quarter,NA,0S
