Atlanta,New York,time_rem
1-0,0-1,48M 0S
0,0,47M 37S
2,0,46M 48S
2,2,46M 24S
4,2,46M 14S
4,5,45M 46S
6,5,44M 14S
8,5,43M 1S
10,5,42M 32S
12,5,42M 0S
12,7,41M 19S
14,7,40M 33S
17,7,40M 0S
17,9,39M 40S
19,9,39M 19S
19,11,39M 8S
22,11,38M 58S
22,12,38M 16S
22,14,37M 46S
22,16,37M 17S
24,16,36M 58S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,16,35M 25S
26,19,35M 1S
26,21,34M 23S
28,21,34M 11S
28,23,33M 58S
30,23,33M 40S
31,23,33M 40S
31,25,32M 58S
34,25,32M 41S
34,28,31M 59S
34,30,31M 25S
36,30,31M 12S
36,32,31M 2S
39,32,30M 39S
41,32,30M 20S
41,34,30M 7S
41,36,29M 23S
43,36,28M 59S
43,38,28M 51S
45,38,28M 28S
45,41,28M 17S
45,44,27M 38S
47,44,26M 40S
47,46,26M 17S
50,46,26M 0S
50,48,25M 40S
52,48,25M 26S
52,49,24M 23S
52,50,24M 23S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,50,23M 28S
54,52,22M 50S
54,54,22M 26S
55,54,22M 3S
55,56,20M 49S
57,56,20M 35S
59,56,20M 14S
61,56,19M 11S
61,58,18M 50S
63,58,18M 29S
63,61,17M 36S
63,63,17M 18S
66,63,17M 4S
66,66,15M 3S
66,68,14M 28S
66,70,13M 44S
66,72,13M 12S
66,73,13M 12S
68,73,12M 31S
71,73,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,73,11M 34S
73,74,10M 54S
73,75,10M 54S
73,77,10M 17S
76,77,10M 2S
76,79,9M 34S
76,80,8M 52S
76,81,8M 52S
76,82,8M 52S
79,82,8M 43S
81,82,8M 12S
81,84,7M 53S
83,84,7M 41S
83,86,6M 59S
84,86,6M 43S
85,86,6M 43S
85,88,6M 8S
85,89,5M 22S
86,89,5M 3S
87,89,5M 3S
87,92,4M 46S
88,92,4M 38S
89,92,4M 38S
89,93,4M 27S
91,93,4M 13S
94,93,3M 40S
97,93,2M 59S
97,95,2M 37S
97,98,2M 4S
99,98,1M 51S
100,98,1M 51S
100,101,1M 40S
100,103,1M 11S
103,103,55S
104,103,28S
105,103,28S
105,105,10S
107,105,0S
End of 4th quarter,NA,0S
