LA Clippers,Houston,time_rem
43-19,15-45,48M 0S
0,3,47M 40S
2,3,47M 22S
2,6,46M 45S
4,6,45M 28S
4,7,45M 23S
4,8,45M 23S
5,8,44M 31S
6,8,44M 31S
6,11,44M 17S
8,11,43M 54S
8,13,43M 37S
11,13,43M 26S
11,16,43M 10S
14,16,42M 48S
14,17,42M 27S
14,18,42M 27S
16,18,41M 57S
18,18,41M 36S
19,18,41M 9S
20,18,41M 9S
20,19,40M 58S
20,21,40M 35S
22,21,40M 19S
23,21,40M 19S
23,23,40M 7S
24,23,39M 57S
25,23,39M 57S
25,25,39M 44S
28,25,39M 25S
28,26,39M 7S
28,27,39M 7S
28,29,38M 53S
30,29,38M 43S
30,30,38M 17S
30,31,38M 17S
31,31,38M 4S
32,31,38M 4S
32,33,37M 27S
35,33,36M 48S
37,33,36M 23S
37,36,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
39,36,34M 50S
41,36,34M 8S
41,39,33M 17S
44,39,32M 58S
44,42,31M 48S
46,42,31M 18S
49,42,30M 53S
49,44,30M 38S
49,46,29M 58S
51,46,29M 52S
51,48,28M 37S
54,48,28M 27S
56,48,27M 57S
56,51,27M 45S
56,53,27M 20S
56,54,27M 20S
58,54,26M 51S
60,54,26M 9S
60,55,25M 54S
60,56,25M 54S
60,58,25M 11S
62,58,24M 55S
65,58,24M 33S
65,61,24M 12S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,64,22M 33S
67,64,22M 20S
67,65,21M 59S
67,67,20M 53S
67,69,20M 19S
67,71,19M 52S
69,71,18M 50S
70,71,18M 50S
70,73,16M 40S
72,73,16M 27S
72,75,16M 12S
72,76,15M 40S
74,76,14M 36S
76,76,13M 3S
76,78,12M 36S
76,80,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,80,10M 52S
78,80,10M 52S
78,82,10M 41S
81,82,10M 29S
81,85,10M 14S
81,88,9M 43S
83,88,9M 26S
86,88,9M 20S
89,88,8M 55S
89,90,8M 14S
92,90,7M 57S
92,92,7M 36S
93,92,6M 10S
95,92,5M 29S
97,92,4M 49S
97,93,4M 37S
97,94,4M 37S
99,94,3M 54S
100,94,3M 30S
101,94,3M 30S
103,94,3M 7S
103,95,2M 25S
103,96,2M 25S
105,96,2M 7S
105,99,1M 55S
105,101,1M 20S
105,102,58S
106,102,7S
107,102,7S
107,104,4S
108,104,4S
109,104,4S
End of 4th quarter,NA,0S
