Minnesota,Boston,time_rem
13-40,27-26,48M 0S
0,2,47M 47S
0,4,47M 18S
2,4,47M 6S
4,4,46M 45S
6,4,46M 7S
6,6,45M 34S
8,6,45M 13S
8,9,44M 51S
8,10,44M 49S
10,10,44M 37S
10,12,44M 18S
13,12,43M 49S
13,14,43M 35S
15,14,42M 49S
17,14,42M 23S
17,16,42M 8S
19,16,41M 32S
19,18,41M 20S
21,18,41M 6S
24,18,39M 53S
24,20,39M 43S
26,20,39M 28S
26,22,38M 9S
29,22,37M 57S
30,22,37M 30S
31,22,37M 30S
33,22,37M 5S
34,22,36M 46S
35,22,36M 46S
36,22,36M 39S
37,22,36M 39S
37,24,36M 32S
39,24,36M 21S
39,25,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
39,26,35M 28S
39,27,35M 28S
41,27,35M 18S
41,29,34M 52S
42,29,34M 42S
42,32,34M 34S
45,32,34M 12S
45,34,33M 51S
45,35,33M 51S
47,35,33M 32S
47,37,33M 4S
49,37,32M 11S
49,40,31M 58S
51,40,31M 37S
53,40,31M 24S
55,40,31M 7S
55,43,30M 32S
58,43,29M 10S
58,45,28M 47S
58,46,28M 47S
60,46,28M 14S
60,48,27M 56S
62,48,27M 20S
62,49,26M 27S
62,50,26M 27S
62,53,25M 57S
65,53,25M 46S
Jump ball: J. Okogie vs. T. Thompson (J. McDaniels gains possession),NA,24M 57S
66,53,24M 31S
66,54,24M 14S
66,55,24M 14S
66,56,24M 1S
66,57,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,57,23M 49S
68,57,23M 49S
70,57,23M 30S
70,59,23M 7S
73,59,22M 43S
73,62,22M 20S
74,62,22M 9S
75,62,22M 9S
76,62,21M 13S
77,62,21M 13S
79,62,20M 36S
79,63,20M 21S
79,64,20M 21S
79,65,20M 21S
79,67,19M 38S
82,67,19M 4S
82,69,18M 32S
Jump ball: M. Smart vs. J. McDaniels (K. Walker gains possession),NA,18M 6S
82,71,17M 59S
82,74,17M 36S
83,74,17M 6S
84,74,17M 6S
85,74,16M 49S
86,74,16M 49S
87,74,16M 49S
87,77,16M 28S
89,77,16M 7S
89,80,15M 57S
90,80,15M 47S
91,80,15M 47S
91,82,15M 25S
91,85,15M 3S
91,86,14M 47S
92,86,14M 29S
92,88,14M 16S
92,89,13M 26S
92,90,13M 26S
94,90,12M 42S
94,92,12M 28S
97,92,12M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,94,11M 9S
97,97,9M 54S
100,97,9M 41S
100,99,8M 45S
100,100,8M 21S
100,101,8M 21S
100,104,7M 12S
100,107,6M 26S
102,107,6M 8S
102,109,5M 46S
105,109,5M 33S
105,112,5M 16S
106,112,4M 40S
107,112,4M 40S
107,115,4M 25S
107,118,3M 47S
108,118,3M 36S
109,118,3M 36S
109,119,3M 26S
109,120,3M 26S
111,120,3M 17S
111,121,2M 51S
111,122,2M 51S
113,122,2M 41S
116,122,2M 5S
119,122,1M 29S
121,122,54S
121,124,17S
124,124,9S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: K. Towns vs. R. Williams (R. Williams gains possession),NA,5M 0S
124,126,4M 10S
127,126,3M 52S
127,129,3M 12S
127,132,2M 23S
129,132,2M 5S
129,135,1M 48S
131,135,1M 44S
132,135,1M 44S
132,136,1M 25S
132,137,1M 25S
132,138,1M 25S
132,140,48S
134,140,45S
134,141,45S
136,141,37S
136,142,29S
136,143,29S
136,144,12S
136,145,12S
End of 1st overtime,NA,0S
