Portland,Chicago,time_rem
10-8,7-11,48M 0S
0,2,47M 47S
3,2,47M 26S
3,4,47M 11S
3,7,46M 51S
5,7,46M 10S
5,8,45M 47S
5,9,45M 47S
8,9,45M 35S
10,9,44M 37S
11,9,43M 53S
12,9,43M 53S
13,9,43M 53S
15,9,43M 28S
15,12,43M 7S
17,12,42M 53S
17,14,42M 44S
19,14,42M 29S
19,17,42M 14S
19,20,41M 45S
21,20,41M 15S
23,20,40M 32S
23,22,40M 11S
23,24,39M 7S
23,25,39M 7S
23,28,38M 37S
25,28,37M 47S
27,28,37M 19S
27,30,37M 6S
27,31,37M 6S
29,31,36M 53S
29,34,36M 35S
31,34,36M 30S
32,34,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,37,35M 21S
32,40,34M 46S
34,40,34M 25S
34,42,34M 5S
36,42,33M 19S
36,43,32M 10S
36,44,32M 10S
37,44,32M 1S
38,44,32M 1S
40,44,31M 33S
43,44,31M 13S
46,44,30M 35S
49,44,30M 2S
49,46,29M 44S
52,46,29M 4S
54,46,28M 29S
54,48,27M 8S
56,48,26M 47S
58,48,26M 19S
60,48,25M 35S
60,49,25M 26S
60,50,25M 26S
61,50,25M 11S
62,50,25M 11S
64,50,24M 35S
64,53,24M 23S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,53,23M 37S
67,53,22M 57S
67,56,22M 44S
69,56,22M 25S
69,58,22M 11S
72,58,21M 57S
75,58,21M 35S
76,58,21M 8S
77,58,21M 8S
77,60,20M 47S
77,62,20M 19S
79,62,19M 30S
79,64,19M 8S
79,67,18M 40S
82,67,18M 27S
Jump ball: R. Covington vs. C. White (G. Trent gains possession),NA,18M 0S
85,67,17M 52S
85,70,17M 14S
88,70,16M 56S
88,72,16M 44S
88,73,16M 44S
88,75,15M 46S
89,75,15M 37S
90,75,14M 23S
91,75,14M 23S
91,76,14M 6S
91,77,14M 6S
91,79,13M 29S
91,80,13M 29S
91,83,12M 54S
93,83,12M 30S
93,86,12M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,89,11M 9S
96,89,10M 42S
96,92,10M 26S
96,94,9M 48S
99,94,9M 33S
99,97,9M 15S
101,97,8M 40S
101,99,8M 22S
101,100,8M 22S
101,103,7M 59S
101,105,7M 29S
104,105,7M 14S
105,105,6M 52S
106,105,6M 52S
106,107,6M 31S
109,107,6M 19S
111,107,5M 32S
111,110,5M 12S
113,110,3M 27S
113,113,3M 8S
113,115,2M 0S
113,117,58S
115,117,50S
115,120,32S
117,120,18S
117,121,11S
117,122,11S
120,122,8S
Jump ball: G. Trent vs. Z. LaVine (D. Lillard gains possession),NA,0S
123,122,0S
End of 4th quarter,NA,0S
