Indiana,New Orleans,time_rem
5-2,4-3,48M 0S
0,0,47M 39S
2,0,47M 16S
2,2,45M 21S
2,5,44M 43S
5,5,44M 27S
5,7,43M 57S
5,8,43M 57S
8,8,43M 48S
8,10,43M 32S
8,13,43M 8S
10,13,42M 35S
Jump ball: D. Sabonis vs. Z. Williamson (J. Holiday gains possession),NA,42M 20S
12,13,42M 6S
12,15,41M 45S
13,15,41M 27S
14,15,41M 27S
14,18,40M 58S
17,18,40M 14S
19,18,39M 50S
19,20,39M 37S
21,20,39M 21S
24,20,38M 34S
26,20,38M 2S
26,21,37M 44S
26,22,37M 44S
26,24,37M 19S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,25,35M 40S
26,26,35M 40S
26,28,34M 37S
26,30,33M 51S
27,30,33M 45S
28,30,33M 45S
28,32,33M 8S
30,32,32M 19S
32,32,31M 45S
32,34,31M 28S
32,35,31M 28S
32,37,30M 56S
35,37,30M 43S
35,38,30M 29S
35,41,30M 6S
37,41,29M 6S
39,41,28M 49S
39,43,28M 30S
Jump ball: M. Brogdon vs. N. Alexander,Walker (V. Oladipo gains possession),27M 22S
42,43,27M 13S
Jump ball: B. Ingram vs. J. Holiday (L. Ball gains possession),NA,26M 46S
44,43,26M 18S
44,45,25M 55S
44,46,25M 55S
46,46,25M 40S
46,48,25M 10S
49,48,24M 52S
51,48,24M 36S
52,48,24M 36S
52,50,24M 29S
52,51,24M 29S
53,51,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,53,23M 34S
53,55,23M 7S
56,55,22M 49S
56,57,22M 8S
56,58,21M 3S
56,59,21M 3S
56,60,20M 36S
56,61,20M 36S
56,63,20M 15S
59,63,20M 2S
59,65,19M 42S
62,65,19M 26S
62,68,19M 1S
64,68,18M 48S
64,70,18M 29S
67,70,18M 14S
69,70,17M 0S
71,70,16M 31S
71,72,16M 17S
71,74,15M 47S
71,76,13M 55S
71,77,13M 55S
73,77,13M 35S
76,77,13M 1S
79,77,12M 38S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,80,11M 34S
81,80,11M 11S
84,80,10M 44S
84,82,10M 23S
86,82,10M 4S
89,82,9M 38S
89,85,9M 24S
92,85,8M 10S
92,87,7M 51S
92,88,7M 31S
92,90,6M 41S
92,91,6M 41S
94,91,6M 28S
94,93,6M 13S
94,96,5M 35S
94,98,5M 2S
94,101,4M 20S
94,103,3M 46S
94,104,3M 46S
96,104,3M 19S
96,105,2M 22S
96,106,2M 22S
97,106,2M 12S
98,106,2M 12S
100,106,1M 38S
103,106,20S
106,106,8S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
106,108,4M 36S
108,108,4M 14S
108,110,4M 0S
110,110,3M 12S
111,110,3M 12S
111,112,2M 4S
113,112,1M 46S
116,112,1M 7S
116,114,1M 2S
116,116,25S
118,116,3S
End of 1st overtime,NA,0S
