Dallas,Indiana,time_rem
7-7,8-6,48M 0S
0,0,47M 49S
2,0,46M 35S
2,2,46M 3S
4,2,45M 38S
6,2,45M 12S
8,2,44M 47S
8,4,44M 37S
9,4,44M 25S
10,4,44M 25S
10,6,44M 13S
12,6,44M 0S
12,7,43M 50S
12,8,43M 50S
14,8,43M 40S
14,11,43M 23S
16,11,42M 57S
16,13,42M 46S
18,13,42M 20S
21,13,41M 50S
21,16,41M 33S
24,16,41M 17S
26,16,40M 12S
28,16,39M 58S
28,17,39M 43S
30,17,39M 28S
30,19,38M 54S
30,20,38M 54S
33,20,38M 40S
35,20,37M 16S
35,21,36M 55S
35,22,36M 55S
37,22,36M 48S
37,25,36M 40S
37,28,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,31,35M 12S
39,31,34M 29S
39,34,34M 19S
41,34,34M 0S
42,34,34M 0S
42,36,33M 11S
42,37,33M 11S
44,37,32M 41S
45,37,32M 41S
45,40,32M 0S
45,42,31M 17S
47,42,30M 56S
47,44,30M 33S
48,44,29M 54S
50,44,29M 28S
50,47,29M 17S
52,47,29M 3S
53,47,28M 42S
53,49,28M 26S
55,49,28M 13S
56,49,28M 0S
57,49,28M 0S
59,49,27M 51S
Jump ball: D. McDermott vs. J. Green (D. Sabonis gains possession),NA,27M 18S
59,51,27M 7S
61,51,26M 49S
61,52,26M 41S
61,53,26M 41S
63,53,26M 31S
63,55,26M 14S
63,58,25M 19S
64,58,24M 53S
65,58,24M 53S
65,61,24M 41S
65,63,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,63,23M 50S
67,65,22M 49S
67,67,22M 4S
67,70,21M 44S
69,70,21M 24S
72,70,21M 2S
74,70,20M 29S
74,72,20M 7S
76,72,19M 47S
76,74,19M 30S
78,74,19M 16S
79,74,18M 41S
80,74,18M 41S
80,76,18M 29S
82,76,18M 14S
84,76,17M 52S
84,79,16M 50S
84,80,16M 32S
84,81,16M 32S
86,81,15M 48S
86,83,15M 27S
86,86,15M 1S
88,86,13M 49S
88,89,13M 29S
88,91,13M 5S
90,91,12M 36S
91,91,12M 36S
91,92,12M 21S
93,92,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,94,11M 42S
96,94,11M 16S
99,94,10M 34S
101,94,9M 58S
101,95,9M 41S
104,95,9M 18S
104,97,8M 50S
106,97,8M 29S
106,100,8M 16S
108,100,7M 54S
110,100,7M 27S
112,100,7M 4S
112,103,6M 50S
115,103,6M 36S
117,103,6M 11S
117,104,5M 58S
118,104,4M 39S
118,106,4M 18S
120,106,2M 20S
122,106,2M 0S
122,108,1M 53S
122,110,47S
122,112,31S
124,112,21S
End of 4th quarter,NA,0S
