Atlanta,Portland,time_rem
5-7,8-5,48M 0S
0,2,47M 35S
2,2,47M 12S
2,5,46M 53S
4,5,46M 40S
4,7,46M 30S
6,7,45M 24S
8,7,45M 5S
8,9,44M 42S
9,9,44M 27S
9,10,44M 15S
9,11,44M 15S
10,11,44M 4S
11,11,44M 4S
11,13,43M 57S
11,14,43M 57S
13,14,43M 31S
13,16,43M 20S
15,16,43M 12S
15,18,42M 50S
17,18,42M 33S
17,21,42M 14S
18,21,41M 53S
19,21,41M 53S
19,24,41M 40S
21,24,41M 29S
21,26,41M 14S
24,26,40M 57S
24,29,40M 25S
26,29,39M 38S
28,29,39M 14S
31,29,38M 38S
31,31,38M 17S
33,31,37M 48S
33,34,37M 6S
36,34,36M 51S
38,34,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
40,34,34M 34S
43,34,34M 16S
43,36,33M 59S
45,36,33M 23S
47,36,32M 39S
49,36,32M 7S
52,36,31M 19S
52,39,30M 35S
54,39,30M 14S
54,41,29M 38S
54,42,29M 16S
54,43,29M 16S
54,45,28M 34S
56,45,28M 15S
56,47,27M 36S
56,48,27M 36S
58,48,27M 25S
58,51,27M 9S
59,51,26M 56S
60,51,26M 56S
60,54,26M 42S
62,54,26M 6S
62,57,25M 54S
62,59,24M 57S
63,59,24M 49S
64,59,24M 49S
66,59,24M 23S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,59,23M 35S
68,59,23M 35S
68,61,23M 15S
68,64,21M 52S
70,64,21M 38S
70,66,20M 5S
71,66,19M 53S
72,66,19M 53S
75,66,18M 39S
75,68,18M 17S
75,70,17M 24S
75,72,16M 52S
76,72,16M 44S
77,72,16M 44S
77,74,16M 26S
79,74,16M 7S
80,74,15M 48S
82,74,15M 3S
82,76,14M 55S
82,79,14M 26S
84,79,14M 8S
84,82,13M 25S
84,83,12M 52S
84,84,12M 52S
86,84,12M 28S
86,86,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,88,11M 18S
87,88,10M 52S
88,88,10M 52S
88,89,10M 34S
90,89,9M 50S
90,91,8M 26S
90,94,7M 33S
92,94,7M 19S
92,96,6M 57S
92,97,6M 32S
94,97,6M 13S
94,98,5M 56S
95,98,5M 46S
96,98,5M 46S
96,101,5M 23S
Jump ball: D. Lillard vs. C. Capela (D. Jones gains possession),NA,5M 1S
98,101,4M 38S
98,104,4M 16S
98,106,3M 54S
99,106,3M 11S
100,106,3M 11S
101,106,2M 49S
102,106,2M 49S
104,106,1M 47S
104,107,1M 35S
104,108,1M 35S
106,108,47S
106,109,13S
106,110,13S
106,111,5S
106,112,5S
End of 4th quarter,NA,0S
