Golden State,New Orleans,time_rem
33-32,29-36,48M 0S
0,0,47M 48S
1,0,47M 48S
2,0,47M 48S
4,0,47M 26S
4,1,47M 14S
6,1,46M 34S
8,1,46M 12S
10,1,45M 53S
12,1,45M 29S
12,3,45M 15S
14,3,44M 39S
14,5,44M 24S
17,5,43M 40S
17,7,43M 30S
17,8,43M 30S
17,9,43M 5S
17,10,43M 5S
17,12,42M 33S
17,13,42M 19S
17,14,42M 19S
19,14,42M 5S
21,14,41M 41S
21,16,41M 31S
24,16,41M 22S
27,16,40M 13S
27,19,39M 54S
28,19,39M 15S
30,19,39M 6S
31,19,38M 48S
32,19,38M 48S
33,19,38M 20S
36,19,38M 2S
39,19,37M 36S
39,21,36M 18S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
39,23,35M 41S
39,25,34M 47S
39,27,34M 24S
41,27,34M 0S
42,27,32M 19S
44,27,31M 48S
47,27,31M 21S
47,29,30M 43S
49,29,30M 1S
49,31,29M 47S
51,31,29M 34S
53,31,29M 9S
53,33,28M 53S
55,33,28M 31S
58,33,28M 2S
58,34,27M 50S
58,35,27M 50S
60,35,27M 34S
60,37,27M 22S
60,39,26M 55S
60,41,26M 25S
62,41,26M 16S
62,43,26M 3S
62,46,25M 44S
64,46,25M 27S
65,46,24M 59S
66,46,24M 59S
66,48,24M 37S
66,50,24M 28S
66,51,24M 28S
66,54,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,56,23M 46S
69,56,23M 28S
72,56,22M 41S
72,58,22M 23S
74,58,22M 11S
74,59,21M 57S
76,59,21M 44S
76,62,21M 32S
76,64,20M 49S
76,66,20M 28S
76,67,20M 28S
76,68,19M 11S
76,69,19M 11S
79,69,18M 53S
79,71,18M 16S
79,73,16M 51S
81,73,16M 35S
84,73,15M 53S
84,76,15M 31S
85,76,15M 20S
86,76,15M 20S
88,76,14M 43S
89,76,14M 41S
92,76,14M 6S
92,78,13M 54S
95,78,12M 57S
95,79,12M 46S
95,80,12M 46S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,80,11M 46S
97,82,11M 25S
100,82,11M 5S
100,84,9M 59S
100,85,9M 38S
100,86,9M 38S
102,86,9M 23S
102,87,9M 3S
105,87,8M 46S
105,88,8M 34S
105,90,8M 6S
108,90,6M 39S
108,92,5M 47S
110,92,5M 35S
110,94,5M 15S
112,94,4M 40S
112,96,4M 28S
112,97,4M 9S
112,98,4M 9S
114,98,3M 24S
114,99,3M 13S
114,100,3M 13S
116,100,2M 46S
119,100,2M 29S
121,100,2M 2S
121,102,1M 37S
121,104,1M 10S
121,105,55S
121,106,53S
123,106,42S
123,108,32S
End of 4th quarter,NA,0S
