San Antonio,Golden State,time_rem
8-7,8-6,48M 0S
0,0,47M 36S
0,1,47M 2S
0,3,46M 17S
0,4,46M 17S
2,4,45M 45S
2,7,45M 29S
2,8,44M 57S
2,9,44M 57S
3,9,44M 48S
4,9,44M 48S
4,11,44M 37S
4,13,44M 2S
6,13,43M 28S
8,13,43M 15S
8,15,42M 58S
11,15,42M 43S
11,17,42M 27S
11,18,42M 27S
11,19,41M 51S
11,21,41M 31S
12,21,41M 16S
13,21,41M 16S
13,23,41M 0S
13,26,39M 55S
13,27,39M 55S
15,27,39M 21S
15,29,38M 57S
18,29,38M 35S
18,32,38M 22S
18,35,38M 0S
20,35,37M 44S
22,35,37M 0S
22,36,36M 45S
24,36,36M 34S
Jump ball: D. Vassell vs. S. Curry (J. Poeltl gains possession),NA,36M 24S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,36,34M 38S
27,36,34M 14S
29,36,33M 33S
31,36,33M 8S
31,39,32M 19S
31,41,31M 54S
33,41,31M 39S
33,43,30M 26S
35,43,30M 3S
36,43,29M 56S
37,43,29M 33S
38,43,29M 33S
38,46,29M 18S
38,48,28M 45S
38,50,28M 14S
38,52,27M 45S
38,54,27M 18S
38,57,26M 53S
38,59,26M 27S
39,59,26M 17S
40,59,26M 17S
40,60,26M 8S
40,61,26M 8S
42,61,25M 54S
42,64,25M 10S
45,64,24M 56S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,64,23M 21S
49,64,23M 2S
49,66,22M 48S
50,66,22M 39S
51,66,22M 39S
51,68,22M 21S
52,68,22M 6S
54,68,21M 28S
54,70,21M 22S
54,72,20M 44S
56,72,20M 33S
56,74,20M 12S
58,74,19M 37S
60,74,19M 25S
61,74,19M 4S
62,74,19M 4S
62,76,18M 45S
62,78,18M 16S
62,80,17M 43S
62,83,16M 58S
64,83,16M 50S
65,83,16M 50S
67,83,15M 30S
67,85,15M 8S
67,87,14M 16S
67,89,13M 40S
69,89,13M 5S
69,90,12M 49S
71,90,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,90,11M 44S
73,92,11M 24S
73,93,10M 50S
73,94,10M 50S
75,94,10M 13S
77,94,9M 45S
77,96,9M 15S
78,96,9M 3S
79,96,9M 2S
80,96,9M 2S
82,96,8M 49S
82,98,8M 26S
82,100,7M 53S
84,100,7M 8S
84,101,6M 53S
84,104,6M 22S
86,104,6M 9S
86,107,5M 53S
86,110,5M 18S
87,110,4M 58S
87,112,4M 39S
88,112,3M 56S
89,112,3M 21S
90,112,3M 21S
92,112,2M 49S
92,115,2M 18S
93,115,1M 42S
94,115,1M 42S
94,118,1M 28S
96,118,1M 15S
96,121,39S
99,121,5S
End of 4th quarter,NA,0S
