Toronto,Sacramento,time_rem
2-6,4-5,48M 0S
0,2,47M 35S
0,5,47M 9S
0,6,46M 54S
0,8,46M 31S
1,8,46M 21S
2,8,46M 21S
5,8,45M 48S
5,10,45M 34S
5,12,45M 14S
7,12,44M 59S
7,14,44M 48S
7,16,44M 33S
7,18,43M 53S
7,20,43M 41S
8,20,43M 18S
8,22,43M 10S
10,22,42M 44S
10,23,42M 34S
10,24,42M 34S
12,24,42M 26S
12,27,42M 9S
13,27,41M 52S
14,27,41M 52S
14,29,41M 33S
17,29,41M 11S
17,32,40M 35S
17,35,40M 10S
19,35,40M 0S
19,37,39M 44S
21,37,39M 30S
21,40,39M 9S
24,40,38M 58S
26,40,38M 19S
28,40,37M 56S
31,40,37M 10S
31,43,36M 54S
33,43,36M 25S
35,43,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,43,35M 39S
38,43,35M 39S
38,44,34M 56S
38,46,34M 28S
41,46,34M 13S
41,48,33M 57S
41,49,33M 33S
41,50,33M 33S
44,50,33M 21S
Jump ball: P. Siakam vs. M. Bagley (O. Anunoby gains possession),NA,33M 10S
46,50,33M 0S
46,53,32M 17S
48,53,31M 26S
50,53,30M 45S
53,53,30M 12S
55,53,29M 43S
57,53,29M 22S
57,55,29M 14S
57,57,28M 32S
58,57,28M 16S
59,57,28M 16S
59,60,27M 59S
60,60,27M 46S
62,60,27M 15S
62,61,26M 57S
62,62,26M 57S
62,64,26M 38S
62,65,26M 19S
62,66,26M 19S
62,68,25M 53S
63,68,25M 36S
64,68,25M 36S
64,71,25M 15S
66,71,24M 55S
67,71,24M 32S
68,71,24M 32S
68,73,24M 27S
71,73,24M 5S
71,74,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
74,74,23M 37S
74,77,23M 20S
76,77,22M 52S
76,79,22M 46S
78,79,22M 30S
80,79,22M 1S
80,81,21M 27S
82,81,21M 12S
82,83,20M 52S
84,83,20M 38S
87,83,20M 0S
88,83,19M 36S
90,83,19M 29S
90,85,18M 54S
92,85,18M 30S
92,88,18M 20S
95,88,17M 55S
95,91,17M 43S
97,91,17M 28S
97,93,17M 15S
100,93,17M 2S
101,93,16M 34S
101,95,16M 20S
104,95,16M 0S
104,97,15M 36S
106,97,15M 22S
106,99,13M 55S
106,100,13M 55S
106,103,13M 30S
109,103,12M 54S
111,103,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
111,104,11M 47S
114,104,11M 37S
117,104,11M 8S
117,105,10M 51S
117,106,10M 51S
119,106,10M 31S
122,106,10M 15S
123,106,9M 46S
124,106,9M 45S
125,106,9M 45S
125,109,9M 17S
127,109,8M 58S
130,109,8M 32S
130,111,8M 12S
133,111,7M 19S
135,111,6M 7S
135,113,5M 26S
137,113,4M 35S
137,115,3M 39S
137,118,2M 9S
139,118,1M 46S
141,118,1M 36S
141,120,1M 20S
141,122,57S
141,123,57S
144,123,44S
End of 4th quarter,NA,0S
