Portland,Phoenix,time_rem
18-12,20-10,48M 0S
0,2,47M 46S
0,4,46M 56S
2,4,45M 43S
2,6,45M 27S
2,9,44M 39S
5,9,44M 13S
7,9,43M 45S
7,11,43M 31S
10,11,43M 6S
10,13,42M 30S
10,14,41M 58S
10,15,41M 58S
11,15,41M 40S
12,15,41M 40S
12,17,41M 31S
14,17,41M 11S
14,20,40M 34S
16,20,40M 20S
16,21,40M 3S
16,22,40M 3S
19,22,39M 45S
21,22,39M 9S
21,24,38M 54S
21,26,38M 25S
23,26,38M 5S
24,26,37M 36S
24,28,37M 3S
26,28,36M 44S
26,29,36M 36S
26,30,36M 36S
26,32,36M 21S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,32,35M 35S
31,32,34M 36S
33,32,33M 57S
33,35,33M 39S
34,35,33M 22S
35,35,33M 22S
35,37,32M 53S
37,37,32M 29S
37,39,32M 14S
40,39,31M 33S
40,41,31M 20S
40,43,30M 55S
42,43,30M 10S
42,45,29M 15S
42,48,28M 34S
44,48,27M 37S
46,48,27M 14S
46,51,26M 57S
48,51,26M 42S
48,53,26M 22S
48,54,26M 22S
50,54,26M 7S
50,55,25M 49S
50,56,25M 49S
52,56,25M 35S
52,58,25M 16S
52,61,24M 35S
54,61,24M 21S
54,63,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,65,23M 13S
56,65,22M 57S
56,68,22M 38S
58,68,22M 3S
58,70,21M 56S
60,70,21M 31S
60,72,21M 17S
63,72,20M 51S
63,74,20M 2S
65,74,19M 3S
65,77,18M 4S
65,79,16M 55S
65,81,16M 21S
65,82,16M 21S
65,83,15M 45S
65,84,15M 45S
65,86,15M 18S
67,86,15M 3S
67,88,14M 48S
69,88,14M 8S
69,91,13M 30S
69,92,13M 14S
70,92,13M 8S
71,92,13M 8S
71,94,12M 31S
71,97,12M 2S
71,100,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,102,11M 35S
71,104,10M 41S
74,104,10M 18S
74,107,9M 52S
77,107,9M 33S
77,110,8M 51S
80,110,8M 37S
80,111,7M 26S
80,112,7M 26S
81,112,7M 5S
82,112,7M 5S
82,114,6M 47S
83,114,6M 30S
84,114,6M 30S
84,116,5M 19S
84,119,4M 51S
84,121,4M 29S
87,121,4M 13S
90,121,3M 47S
90,123,3M 30S
90,126,2M 47S
91,126,2M 24S
92,126,2M 24S
92,129,2M 14S
93,129,2M 6S
95,129,1M 52S
97,129,1M 37S
100,129,39S
100,131,18S
100,132,18S
End of 4th quarter,NA,0S
