LA Lakers,Cleveland,time_rem
14-4,8-9,48M 0S
0,0,47M 43S
2,0,47M 27S
2,2,47M 5S
2,3,46M 46S
2,4,46M 46S
2,6,46M 30S
2,8,46M 2S
5,8,45M 44S
5,10,45M 9S
6,10,45M 8S
6,11,44M 58S
6,12,44M 58S
7,12,44M 28S
10,12,44M 22S
12,12,43M 42S
15,12,43M 17S
15,13,42M 34S
15,14,42M 34S
15,16,41M 59S
17,16,41M 47S
19,16,41M 9S
19,19,40M 50S
21,19,40M 34S
23,19,39M 40S
23,21,38M 54S
25,21,38M 34S
26,21,37M 45S
29,21,37M 34S
29,23,37M 20S
31,23,36M 32S
34,23,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,23,35M 27S
36,25,35M 11S
38,25,35M 1S
39,25,35M 1S
39,27,34M 44S
39,28,34M 44S
39,30,34M 27S
42,30,34M 12S
42,31,33M 57S
42,33,33M 32S
44,33,33M 17S
45,33,33M 17S
45,35,32M 56S
47,35,32M 33S
47,38,32M 15S
48,38,31M 11S
49,38,31M 11S
50,38,31M 11S
52,38,30M 51S
52,40,30M 21S
52,42,29M 16S
53,42,29M 8S
54,42,29M 8S
54,45,28M 38S
56,45,28M 24S
56,48,28M 6S
56,49,27M 48S
56,50,27M 48S
56,51,27M 48S
57,51,27M 40S
57,52,27M 12S
57,53,27M 12S
59,53,26M 35S
61,53,25M 34S
63,53,24M 35S
63,55,24M 25S
65,55,24M 4S
65,58,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,58,23M 52S
67,61,23M 24S
67,64,23M 3S
68,64,22M 32S
69,64,22M 32S
69,66,22M 22S
69,68,21M 37S
69,70,20M 52S
70,70,20M 11S
71,70,20M 11S
71,73,19M 52S
72,73,19M 37S
73,73,19M 37S
74,73,19M 1S
75,73,19M 1S
75,75,18M 27S
77,75,18M 17S
77,77,18M 5S
79,77,16M 57S
81,77,16M 31S
81,79,15M 36S
82,79,15M 19S
83,79,15M 19S
83,81,15M 6S
83,83,14M 49S
83,85,14M 0S
83,86,13M 34S
83,87,13M 34S
85,87,13M 3S
85,89,12M 55S
87,89,12M 40S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,91,11M 37S
89,91,11M 17S
91,91,10M 56S
93,91,10M 23S
95,91,10M 4S
95,93,9M 49S
Jump ball: A. Drummond vs. M. Harrell (C. Sexton gains possession),NA,9M 22S
95,95,8M 43S
95,96,8M 11S
97,96,7M 13S
100,96,6M 25S
100,98,6M 5S
103,98,4M 41S
105,98,4M 11S
105,99,3M 59S
105,100,3M 59S
108,100,3M 36S
Jump ball: J. Allen vs. A. Caruso (A. Drummond gains possession),NA,3M 7S
108,102,2M 59S
110,102,2M 44S
110,104,2M 33S
110,107,1M 50S
113,107,1M 34S
115,107,58S
115,108,53S
End of 4th quarter,NA,0S
