Brooklyn,Chicago,time_rem
34-16,20-28,48M 0S
0,0,47M 36S
0,2,47M 32S
0,4,46M 6S
2,4,45M 1S
3,4,45M 1S
3,6,44M 48S
6,6,44M 31S
8,6,43M 49S
8,8,43M 34S
10,8,43M 24S
13,8,42M 36S
13,10,42M 15S
15,10,41M 59S
17,10,41M 25S
19,10,41M 0S
19,12,40M 17S
19,15,39M 49S
21,15,39M 33S
24,15,39M 11S
24,18,38M 30S
24,20,38M 6S
24,21,38M 6S
25,21,37M 53S
26,21,37M 53S
26,23,37M 37S
28,23,37M 26S
28,25,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,26,35M 44S
28,27,35M 44S
30,27,34M 41S
31,27,34M 16S
31,29,33M 57S
31,31,31M 52S
33,31,31M 36S
33,32,31M 21S
33,33,31M 21S
33,34,30M 57S
33,35,30M 57S
35,35,30M 45S
37,35,30M 11S
37,36,29M 36S
37,37,29M 36S
39,37,29M 18S
39,39,29M 6S
39,41,28M 33S
41,41,28M 12S
41,43,27M 53S
41,45,27M 28S
43,45,27M 6S
43,46,26M 52S
43,48,26M 19S
43,50,25M 44S
43,52,25M 16S
43,54,24M 56S
46,54,24M 24S
46,56,24M 2S
46,57,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
46,60,23M 51S
48,60,23M 29S
50,60,23M 6S
50,62,22M 47S
52,62,22M 18S
52,64,21M 56S
52,67,21M 36S
52,69,20M 48S
54,69,20M 7S
54,71,19M 2S
56,71,17M 54S
56,74,17M 39S
59,74,17M 24S
59,76,17M 5S
61,76,16M 55S
63,76,16M 33S
65,76,15M 32S
67,76,15M 6S
67,79,14M 48S
67,81,14M 16S
68,81,13M 57S
69,81,13M 57S
69,83,13M 33S
72,83,13M 18S
72,85,13M 0S
72,87,12M 38S
72,88,12M 10S
72,89,12M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,89,11M 45S
77,89,11M 11S
80,89,10M 46S
80,90,10M 30S
80,91,10M 30S
80,93,9M 51S
80,94,9M 26S
82,94,9M 9S
82,96,8M 43S
84,96,8M 32S
84,97,8M 19S
84,98,8M 19S
84,100,7M 52S
86,100,7M 36S
89,100,7M 8S
91,100,6M 37S
91,102,6M 18S
93,102,6M 0S
95,102,5M 3S
95,105,4M 35S
97,105,4M 17S
97,107,3M 51S
97,109,2M 40S
100,109,2M 29S
102,109,1M 59S
102,112,1M 22S
105,112,43S
105,113,28S
105,114,28S
105,115,28S
107,115,22S
End of 4th quarter,NA,0S
