Toronto,Boston,time_rem
17-19,19-17,48M 0S
0,2,47M 42S
2,2,47M 24S
2,4,46M 47S
4,4,46M 36S
4,7,46M 14S
6,7,46M 4S
6,9,45M 44S
6,10,45M 44S
9,10,45M 31S
9,12,44M 36S
12,12,44M 17S
12,14,44M 4S
12,15,43M 32S
12,16,43M 32S
14,16,43M 10S
14,18,42M 53S
16,18,42M 26S
18,18,41M 57S
18,20,41M 36S
21,20,41M 5S
21,21,40M 50S
21,22,40M 50S
21,23,40M 12S
24,23,39M 55S
27,23,39M 17S
27,25,38M 46S
30,25,38M 30S
30,26,38M 22S
30,29,37M 44S
32,29,37M 28S
32,31,36M 45S
34,31,36M 29S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,31,34M 58S
37,34,34M 38S
39,34,34M 15S
39,37,33M 56S
42,37,33M 26S
42,40,33M 6S
45,40,32M 49S
45,41,32M 23S
45,42,32M 23S
48,42,31M 51S
48,45,31M 5S
50,45,30M 46S
52,45,30M 15S
52,47,29M 59S
53,47,29M 46S
56,47,29M 21S
56,50,29M 0S
58,50,28M 46S
58,52,28M 30S
59,52,28M 14S
59,53,28M 6S
59,54,28M 6S
59,55,28M 6S
59,58,27M 43S
61,58,27M 3S
61,60,26M 18S
62,60,25M 57S
63,60,25M 57S
63,62,25M 37S
64,62,25M 28S
65,62,25M 28S
65,64,25M 13S
65,66,24M 48S
67,66,24M 27S
68,66,24M 27S
69,66,24M 2S
70,66,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
70,68,22M 54S
70,69,22M 44S
72,69,22M 29S
72,71,22M 14S
74,71,21M 56S
74,72,21M 15S
74,73,21M 15S
74,75,20M 56S
74,76,20M 28S
74,77,20M 28S
77,77,20M 13S
77,80,19M 59S
77,82,19M 37S
79,82,19M 16S
79,85,18M 47S
79,86,17M 19S
79,87,17M 19S
82,87,17M 8S
82,89,16M 52S
84,89,15M 44S
84,91,14M 51S
87,91,14M 39S
87,93,14M 16S
87,96,13M 38S
89,96,13M 13S
89,99,12M 51S
89,101,12M 13S
92,101,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,101,11M 36S
94,103,11M 16S
94,104,10M 23S
94,105,10M 23S
96,105,10M 8S
97,105,9M 38S
98,105,9M 38S
98,106,9M 22S
98,107,9M 22S
101,107,9M 8S
101,109,8M 51S
103,109,8M 28S
103,111,8M 2S
103,114,7M 32S
105,114,7M 12S
105,116,6M 48S
108,116,6M 34S
108,118,5M 34S
108,119,5M 34S
109,119,5M 28S
109,121,4M 55S
112,121,4M 23S
114,121,3M 48S
117,121,3M 16S
117,122,2M 59S
118,122,2M 45S
119,122,2M 45S
119,123,2M 26S
119,125,1M 53S
119,127,1M 17S
122,127,1M 1S
122,129,38S
125,129,31S
125,130,29S
125,131,12S
125,132,3S
End of 4th quarter,NA,0S
