Milwaukee,Atlanta,time_rem
4-2,2-4,48M 0S
0,0,47M 44S
1,0,47M 21S
2,0,47M 21S
4,0,46M 21S
7,0,45M 59S
7,2,45M 31S
7,4,45M 6S
9,4,44M 50S
10,4,44M 37S
11,4,44M 37S
13,4,43M 55S
15,4,43M 28S
15,6,43M 2S
Jump ball: J. Collins vs. B. Lopez (C. Capela gains possession),NA,42M 45S
15,8,42M 28S
15,10,42M 4S
17,10,41M 42S
18,10,41M 42S
18,13,41M 29S
18,15,40M 56S
18,16,40M 56S
19,16,39M 28S
20,16,39M 28S
22,16,38M 57S
24,16,38M 28S
26,16,38M 13S
26,19,37M 18S
28,19,36M 47S
28,22,36M 35S
28,23,36M 3S
28,24,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,24,35M 13S
33,24,34M 23S
33,27,33M 35S
36,27,31M 44S
36,29,30M 35S
36,30,30M 25S
36,31,30M 25S
36,33,29M 35S
39,33,29M 21S
40,33,29M 9S
40,35,29M 1S
40,37,28M 40S
43,37,27M 30S
43,39,26M 59S
45,39,26M 25S
47,39,25M 48S
47,40,25M 26S
47,41,25M 26S
47,42,25M 4S
47,43,25M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,45,23M 37S
49,45,23M 7S
52,45,22M 24S
55,45,21M 57S
57,45,21M 29S
58,45,21M 29S
60,45,21M 8S
60,47,20M 41S
63,47,20M 23S
63,50,20M 6S
66,50,19M 44S
66,52,19M 26S
66,55,19M 9S
69,55,18M 53S
71,55,18M 5S
71,57,17M 22S
71,59,16M 56S
73,59,16M 39S
73,61,16M 27S
76,61,15M 59S
76,64,15M 12S
77,64,14M 57S
78,64,14M 57S
78,66,14M 42S
81,66,14M 30S
81,67,14M 0S
84,67,13M 44S
84,68,13M 28S
86,68,13M 7S
86,69,13M 1S
86,70,13M 1S
89,70,12M 48S
89,72,12M 35S
90,72,12M 1S
91,72,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,72,11M 37S
94,75,11M 21S
94,78,10M 39S
96,78,10M 22S
97,78,10M 9S
98,78,10M 9S
98,80,9M 53S
100,80,9M 31S
100,82,9M 7S
100,83,8M 46S
100,84,8M 46S
102,84,8M 17S
102,86,7M 53S
102,89,6M 56S
102,91,6M 23S
102,92,6M 23S
105,92,6M 1S
105,94,5M 42S
107,94,5M 25S
107,97,5M 10S
107,98,4M 12S
107,99,4M 12S
107,101,3M 41S
109,101,3M 23S
110,101,2M 57S
111,101,2M 57S
111,103,2M 11S
113,103,1M 29S
113,106,1M 20S
116,106,1M 2S
116,107,54S
117,107,39S
118,107,39S
End of 4th quarter,NA,0S
