Charlotte,Denver,time_rem
20-19,24-16,48M 0S
2,0,47M 48S
2,2,46M 6S
4,2,45M 55S
4,4,45M 32S
6,4,44M 50S
8,4,44M 36S
8,6,44M 19S
11,6,44M 13S
13,6,43M 24S
14,6,43M 9S
15,6,43M 9S
15,8,42M 56S
15,10,42M 36S
15,12,42M 5S
18,12,41M 46S
18,14,41M 26S
21,14,41M 12S
21,17,40M 58S
21,18,40M 7S
21,19,40M 7S
21,21,39M 11S
21,23,38M 23S
23,23,37M 19S
23,26,37M 5S
25,26,36M 44S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,28,35M 9S
25,30,34M 35S
28,30,34M 20S
28,33,33M 38S
28,36,32M 58S
30,36,32M 44S
30,39,32M 37S
33,39,31M 49S
36,39,30M 59S
36,41,30M 16S
36,43,29M 43S
37,43,29M 27S
38,43,29M 27S
38,45,28M 42S
38,47,28M 5S
40,47,27M 53S
42,47,27M 9S
42,49,26M 14S
42,50,26M 14S
45,50,26M 2S
45,52,25M 27S
45,55,24M 49S
45,57,24M 9S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,59,23M 37S
45,61,23M 1S
45,63,22M 26S
45,65,21M 50S
47,65,21M 43S
47,67,21M 29S
47,69,20M 46S
50,69,20M 23S
52,69,19M 58S
52,72,18M 52S
54,72,18M 37S
54,74,18M 21S
54,77,17M 59S
56,77,17M 38S
56,80,17M 19S
59,80,17M 8S
59,83,16M 51S
61,83,16M 15S
61,86,15M 48S
62,86,15M 33S
63,86,15M 33S
63,88,15M 13S
63,90,14M 36S
65,90,14M 15S
65,92,13M 15S
67,92,13M 0S
67,94,12M 40S
67,95,12M 40S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
68,95,11M 51S
68,97,11M 27S
70,97,11M 13S
70,100,11M 0S
71,100,10M 48S
71,103,9M 51S
71,105,9M 32S
73,105,9M 16S
75,105,8M 37S
76,105,8M 37S
78,105,8M 21S
79,105,8M 21S
79,106,8M 10S
79,109,7M 37S
81,109,7M 8S
84,109,6M 48S
84,110,6M 28S
84,111,6M 28S
84,112,6M 28S
84,114,6M 3S
85,114,5M 49S
86,114,5M 49S
86,115,5M 41S
87,115,5M 20S
88,115,5M 20S
88,118,5M 2S
89,118,4M 47S
90,118,4M 47S
90,120,4M 11S
92,120,3M 55S
92,122,3M 43S
93,122,3M 36S
96,122,3M 4S
97,122,2M 47S
100,122,2M 23S
101,122,2M 3S
102,122,2M 2S
102,125,1M 50S
102,127,1M 38S
102,129,1M 13S
104,129,24S
End of 4th quarter,NA,0S
