Boston,Atlanta,time_rem
15-17,14-18,48M 0S
0,0,47M 40S
2,0,47M 4S
2,2,46M 49S
4,2,46M 32S
4,4,46M 19S
6,4,46M 5S
6,7,45M 52S
8,7,45M 35S
9,7,45M 35S
9,10,45M 13S
9,13,44M 40S
11,13,44M 22S
13,13,43M 37S
13,15,43M 7S
15,15,42M 28S
15,18,42M 12S
15,20,41M 23S
15,23,40M 56S
15,26,40M 17S
18,26,40M 2S
18,28,39M 50S
20,28,39M 25S
22,28,39M 11S
23,28,39M 11S
23,30,38M 48S
25,30,38M 34S
27,30,38M 11S
27,33,37M 52S
27,36,37M 15S
27,38,36M 37S
27,40,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,43,35M 25S
27,44,34M 58S
27,45,34M 58S
27,47,34M 31S
27,50,34M 2S
29,50,33M 41S
29,52,32M 54S
31,52,32M 16S
33,52,32M 3S
34,52,32M 3S
34,55,30M 57S
34,58,30M 18S
37,58,29M 56S
37,61,29M 4S
39,61,28M 50S
41,61,28M 3S
41,63,27M 28S
41,64,26M 56S
41,65,26M 56S
41,66,26M 56S
41,68,26M 33S
43,68,26M 22S
43,70,25M 45S
45,70,25M 19S
46,70,24M 59S
47,70,24M 59S
49,70,24M 17S
49,71,24M 5S
49,72,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,72,23M 47S
51,73,21M 52S
53,73,21M 45S
55,73,21M 27S
56,73,21M 27S
56,76,20M 51S
56,79,20M 26S
57,79,20M 3S
58,79,20M 3S
61,79,19M 36S
61,81,19M 9S
62,81,18M 53S
63,81,18M 53S
63,83,18M 42S
Jump ball: C. Capela vs. J. Brown (T. Young gains possession),NA,18M 13S
65,83,17M 44S
65,86,17M 26S
66,86,17M 12S
67,86,17M 12S
67,88,16M 53S
67,91,16M 21S
67,94,16M 1S
68,94,15M 48S
69,94,15M 48S
70,94,15M 15S
72,94,14M 39S
73,94,13M 4S
74,94,13M 4S
76,94,12M 37S
76,97,12M 34S
76,99,12M 11S
77,99,12M 4S
78,99,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,101,11M 44S
78,104,11M 7S
80,104,10M 52S
81,104,10M 52S
83,104,10M 16S
83,107,9M 46S
83,108,9M 31S
83,109,7M 45S
83,110,7M 45S
86,110,7M 34S
89,110,6M 39S
89,111,6M 25S
89,112,6M 25S
91,112,5M 52S
93,112,5M 25S
93,114,4M 59S
93,116,4M 34S
95,116,4M 28S
95,119,4M 14S
97,119,4M 1S
100,119,3M 18S
100,120,2M 51S
102,120,2M 35S
105,120,2M 3S
105,123,1M 37S
107,123,1M 13S
107,125,51S
110,125,37S
110,127,14S
112,127,7S
End of 4th quarter,NA,0S
