Utah,Memphis,time_rem
3-1,1-3,48M 0S
0,2,47M 46S
0,4,47M 14S
2,4,46M 56S
4,4,46M 34S
4,6,46M 26S
7,6,46M 14S
7,8,45M 53S
9,8,45M 40S
9,9,45M 17S
9,10,45M 17S
12,10,44M 54S
15,10,44M 34S
15,12,44M 20S
15,14,43M 34S
15,15,42M 41S
15,16,42M 41S
17,16,42M 28S
19,16,41M 14S
19,18,40M 39S
21,18,40M 20S
21,21,40M 7S
23,21,39M 48S
23,24,39M 24S
23,26,38M 58S
24,26,38M 40S
25,26,38M 40S
25,29,38M 20S
28,29,38M 8S
28,31,37M 52S
30,31,37M 35S
32,31,36M 33S
33,31,36M 1S
34,31,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,31,34M 54S
37,33,34M 36S
38,33,34M 5S
38,34,33M 50S
38,35,33M 50S
38,38,33M 28S
41,38,33M 3S
41,40,31M 49S
44,40,30M 47S
45,40,30M 22S
46,40,30M 22S
46,43,30M 4S
46,46,29M 4S
46,48,28M 31S
48,48,28M 11S
51,48,27M 9S
53,48,26M 40S
53,49,26M 21S
56,49,26M 6S
56,50,25M 22S
59,50,25M 1S
59,52,24M 40S
59,54,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,54,23M 50S
64,54,23M 22S
64,56,23M 0S
64,58,22M 16S
64,60,21M 49S
66,60,21M 31S
68,60,21M 8S
68,62,20M 50S
70,62,20M 42S
70,64,20M 18S
70,66,19M 56S
70,68,19M 20S
70,69,19M 15S
71,69,19M 15S
72,69,19M 15S
72,71,19M 3S
74,71,18M 42S
75,71,18M 42S
78,71,18M 11S
78,73,17M 58S
80,73,17M 47S
82,73,17M 16S
83,73,17M 16S
85,73,16M 53S
85,75,16M 29S
85,77,16M 19S
86,77,16M 4S
87,77,16M 4S
88,77,16M 4S
88,79,15M 46S
88,81,15M 26S
90,81,14M 22S
90,82,13M 57S
90,83,13M 57S
92,83,13M 21S
92,85,13M 0S
95,85,12M 48S
95,86,12M 35S
95,87,12M 35S
97,87,12M 28S
100,87,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
100,90,11M 13S
101,90,10M 58S
102,90,10M 58S
102,92,9M 36S
102,95,8M 33S
102,97,7M 59S
102,99,7M 26S
103,99,7M 7S
104,99,7M 7S
104,100,6M 29S
104,101,6M 29S
105,101,6M 9S
106,101,6M 9S
106,104,5M 30S
109,104,5M 8S
109,106,4M 14S
110,106,3M 57S
113,106,3M 24S
116,106,2M 40S
116,108,1M 36S
116,109,1M 2S
116,110,1M 2S
117,110,45S
118,110,45S
Jump ball: D. Brooks vs. D. Mitchell (J. Morant gains possession),NA,21S
118,113,16S
119,113,13S
120,113,13S
End of 4th quarter,NA,0S
