LA Clippers,Memphis,time_rem
23-11,14-14,48M 0S
2,0,47M 42S
2,2,47M 16S
4,2,46M 40S
4,5,46M 30S
4,7,45M 52S
6,7,45M 34S
6,9,45M 3S
7,9,44M 51S
8,9,44M 51S
10,9,44M 25S
12,9,42M 25S
13,9,42M 25S
13,11,42M 3S
15,11,41M 3S
15,13,40M 41S
17,13,40M 2S
20,13,39M 25S
20,15,39M 13S
20,16,39M 13S
23,16,38M 29S
23,18,38M 13S
25,18,37M 57S
25,20,37M 43S
27,20,36M 49S
27,22,36M 41S
27,24,36M 14S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,24,35M 36S
30,27,35M 25S
30,29,34M 45S
32,29,34M 26S
32,31,33M 45S
32,33,33M 2S
34,33,32M 50S
34,35,32M 10S
36,35,31M 51S
36,37,31M 27S
37,37,31M 19S
37,39,30M 34S
40,39,30M 22S
40,41,30M 1S
40,43,29M 38S
40,46,29M 9S
40,48,28M 16S
43,48,28M 1S
45,48,27M 23S
45,49,27M 13S
48,49,26M 49S
48,51,26M 34S
49,51,26M 20S
51,51,26M 14S
51,53,25M 51S
53,53,25M 31S
53,56,25M 10S
53,59,24M 32S
53,61,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,61,23M 18S
55,63,22M 56S
55,65,21M 23S
58,65,21M 11S
58,67,20M 58S
61,67,20M 35S
61,68,20M 23S
61,69,20M 23S
61,71,19M 59S
61,73,19M 15S
62,73,18M 52S
63,73,18M 52S
64,73,18M 34S
65,73,18M 34S
65,76,18M 21S
65,78,17M 47S
65,80,17M 5S
65,82,16M 44S
68,82,16M 30S
71,82,16M 5S
71,84,15M 31S
74,84,14M 25S
75,84,13M 58S
75,87,13M 5S
75,89,12M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,89,11M 19S
77,89,11M 19S
78,89,10M 56S
79,89,10M 56S
79,91,10M 41S
81,91,10M 30S
81,92,10M 16S
83,92,10M 4S
83,95,9M 52S
83,97,8M 38S
83,98,7M 42S
83,99,7M 42S
85,99,7M 23S
85,101,6M 45S
85,104,6M 28S
87,104,6M 15S
87,106,5M 57S
89,106,5M 39S
89,109,4M 45S
89,110,4M 45S
89,112,4M 30S
92,112,4M 20S
92,115,3M 52S
92,116,3M 26S
92,118,3M 2S
92,119,2M 29S
92,120,2M 29S
92,122,2M 8S
94,122,1M 20S
End of 4th quarter,NA,0S
