LA Lakers,LA Clippers,time_rem
37-29,45-22,48M 0S
0,0,47M 38S
2,0,46M 26S
2,2,46M 2S
2,5,45M 45S
4,5,45M 30S
4,8,45M 18S
4,9,44M 44S
4,10,44M 44S
7,10,44M 21S
9,10,43M 53S
9,13,43M 36S
11,13,43M 17S
11,15,43M 2S
11,18,42M 35S
11,21,41M 36S
11,22,41M 2S
14,22,40M 19S
14,24,40M 0S
14,27,38M 12S
16,27,37M 17S
16,29,36M 52S
18,29,36M 41S
20,29,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,29,35M 31S
23,31,35M 18S
23,33,34M 55S
24,33,34M 44S
27,33,34M 14S
28,33,33M 57S
29,33,33M 57S
29,35,33M 35S
29,36,32M 44S
29,39,32M 23S
29,42,31M 59S
29,44,31M 34S
31,44,31M 18S
32,44,31M 18S
32,47,31M 0S
32,49,30M 35S
32,52,30M 9S
34,52,29M 46S
34,53,28M 47S
34,54,28M 47S
34,55,28M 47S
35,55,28M 35S
36,55,28M 35S
38,55,27M 45S
38,57,27M 24S
38,59,26M 47S
38,62,26M 6S
40,62,25M 55S
42,62,25M 23S
42,63,24M 31S
42,64,24M 31S
42,65,24M 31S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,65,23M 42S
46,65,22M 47S
46,67,22M 22S
46,69,21M 59S
49,69,21M 44S
52,69,21M 10S
52,71,20M 51S
52,73,19M 31S
52,74,19M 31S
53,74,19M 15S
54,74,19M 15S
Jump ball: I. Zubac vs. A. Drummond (A. Caruso gains possession),NA,18M 11S
54,76,17M 52S
56,76,17M 31S
56,78,17M 15S
59,78,16M 49S
59,80,16M 30S
60,80,16M 5S
60,82,15M 15S
60,83,15M 3S
60,84,15M 3S
61,84,14M 30S
62,84,14M 30S
62,86,14M 18S
65,86,14M 2S
65,89,13M 53S
67,89,13M 20S
69,89,13M 5S
69,90,12M 47S
71,90,12M 29S
71,91,12M 7S
71,92,12M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,94,10M 51S
73,94,10M 39S
74,94,9M 53S
75,94,9M 17S
76,94,9M 17S
76,96,8M 49S
76,97,8M 8S
76,98,8M 8S
78,98,7M 58S
79,98,7M 31S
81,98,7M 18S
81,100,6M 21S
81,102,5M 10S
84,102,4M 58S
84,103,4M 48S
84,104,4M 48S
84,106,4M 21S
86,106,3M 53S
87,106,3M 53S
87,108,3M 36S
90,108,3M 25S
90,110,2M 23S
90,111,2M 23S
92,111,2M 14S
93,111,2M 14S
93,113,1M 59S
93,114,1M 18S
93,115,1M 18S
93,118,58S
94,118,23S
End of 4th quarter,NA,0S
