Orlando,Sacramento,time_rem
10-17,12-13,48M 0S
0,0,47M 46S
3,0,47M 37S
3,3,46M 53S
3,6,46M 19S
3,8,45M 50S
4,8,45M 25S
5,8,45M 25S
6,8,45M 25S
8,8,44M 57S
10,8,44M 25S
10,11,44M 3S
10,12,44M 3S
12,12,43M 49S
12,14,43M 35S
14,14,42M 47S
14,16,42M 37S
14,19,41M 17S
16,19,40M 56S
16,21,40M 31S
19,21,39M 56S
22,21,39M 30S
22,22,39M 20S
22,23,39M 20S
24,23,39M 9S
24,25,38M 55S
26,25,38M 33S
26,27,38M 17S
28,27,38M 1S
28,29,37M 45S
30,29,37M 28S
30,31,37M 14S
33,31,36M 40S
33,33,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,33,35M 46S
36,34,35M 32S
38,34,35M 18S
38,36,34M 44S
40,36,34M 31S
40,38,34M 15S
40,41,33M 50S
40,43,33M 9S
40,46,32M 38S
42,46,32M 11S
45,46,31M 8S
45,48,30M 36S
47,48,29M 52S
49,48,29M 15S
52,48,28M 32S
52,51,28M 16S
53,51,27M 50S
54,51,27M 50S
56,51,27M 6S
56,53,26M 57S
56,54,26M 57S
56,57,26M 27S
59,57,26M 13S
59,59,26M 1S
62,59,25M 39S
64,59,24M 34S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,61,23M 42S
66,61,23M 30S
67,61,23M 30S
67,64,23M 12S
69,64,22M 27S
71,64,22M 12S
73,64,21M 37S
75,64,21M 19S
76,64,21M 19S
76,65,21M 5S
79,65,20M 52S
80,65,20M 22S
82,65,19M 54S
82,67,19M 36S
83,67,19M 22S
84,67,19M 22S
85,67,19M 5S
86,67,19M 5S
86,69,18M 49S
86,71,18M 19S
86,72,17M 50S
89,72,17M 37S
92,72,17M 14S
92,74,17M 3S
92,75,16M 31S
92,77,15M 52S
95,77,15M 36S
95,79,15M 13S
95,80,14M 55S
95,81,14M 55S
95,84,14M 33S
95,86,14M 5S
97,86,13M 30S
97,87,12M 55S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
100,87,11M 5S
100,89,9M 52S
102,89,9M 32S
102,91,8M 49S
105,91,8M 3S
105,93,7M 44S
107,93,7M 9S
109,93,6M 39S
111,93,6M 5S
111,95,5M 51S
113,95,5M 29S
113,97,5M 12S
113,98,5M 12S
113,101,4M 46S
114,101,4M 27S
115,101,4M 27S
115,104,3M 47S
115,106,3M 16S
116,106,3M 11S
117,106,3M 11S
119,106,2M 28S
119,107,1M 35S
119,108,1M 35S
119,110,1M 15S
121,110,1M 2S
121,112,49S
123,112,18S
End of 4th quarter,NA,0S
