Miami,Orlando,time_rem
21-18,13-26,48M 0S
0,0,47M 42S
2,0,47M 6S
4,0,46M 43S
4,3,45M 6S
6,3,44M 23S
8,3,43M 32S
8,5,43M 15S
10,5,42M 53S
13,5,41M 35S
16,5,41M 4S
16,7,40M 47S
16,10,40M 18S
17,10,39M 22S
20,10,38M 50S
22,10,38M 23S
22,12,37M 46S
22,13,37M 46S
22,14,36M 46S
22,15,36M 46S
22,16,36M 19S
22,19,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,20,35M 49S
25,20,35M 6S
28,20,34M 43S
28,22,34M 20S
31,22,34M 8S
34,22,33M 44S
34,23,32M 40S
36,23,32M 19S
36,26,31M 58S
36,28,31M 13S
36,29,30M 52S
36,30,30M 52S
38,30,29M 42S
38,31,29M 27S
38,32,29M 27S
38,35,28M 50S
39,35,28M 38S
40,35,28M 38S
42,35,27M 38S
42,37,27M 9S
42,38,26M 40S
42,39,26M 40S
42,41,26M 11S
44,41,25M 40S
44,43,25M 12S
46,43,24M 49S
46,45,24M 40S
48,45,24M 16S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,47,23M 37S
48,49,22M 28S
48,50,22M 28S
50,50,21M 58S
50,52,21M 38S
52,52,21M 23S
53,52,21M 23S
53,55,21M 3S
54,55,20M 18S
55,55,20M 18S
55,58,20M 6S
58,58,19M 44S
58,61,18M 59S
58,63,18M 26S
60,63,18M 10S
60,65,17M 58S
62,65,17M 39S
62,68,17M 24S
64,68,16M 34S
66,68,16M 8S
66,71,15M 51S
69,71,15M 19S
69,74,14M 37S
Jump ball: C. Okeke vs. J. Butler (N. Vučević gains possession),NA,14M 18S
71,74,13M 41S
72,74,12M 57S
73,74,12M 57S
73,77,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,77,11M 49S
76,80,11M 33S
77,80,10M 44S
78,80,10M 44S
78,83,10M 30S
80,83,9M 49S
80,85,9M 28S
80,86,8M 45S
83,86,7M 25S
84,86,6M 14S
85,86,6M 14S
85,89,5M 55S
88,89,5M 38S
90,89,5M 21S
90,92,4M 28S
93,92,4M 6S
93,94,3M 42S
95,94,3M 22S
98,94,2M 21S
99,94,1M 45S
100,94,1M 45S
100,95,1M 36S
100,97,46S
102,97,4S
End of 4th quarter,NA,0S
