Utah,Brooklyn,time_rem
4-3,4-4,48M 0S
0,0,47M 42S
0,2,46M 50S
0,4,46M 27S
2,4,46M 12S
2,7,45M 38S
2,9,45M 8S
2,11,44M 43S
4,11,44M 18S
4,13,43M 22S
4,16,43M 0S
4,18,42M 37S
4,20,42M 10S
5,20,41M 52S
5,23,41M 37S
6,23,40M 39S
7,23,40M 39S
7,25,40M 16S
7,28,38M 50S
8,28,38M 6S
9,28,38M 6S
9,31,37M 22S
11,31,37M 7S
14,31,36M 40S
14,32,36M 34S
14,33,36M 34S
14,35,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
14,37,35M 24S
17,37,34M 34S
19,37,34M 13S
21,37,33M 52S
21,39,33M 31S
23,39,33M 12S
23,41,33M 0S
23,43,32M 32S
25,43,32M 16S
25,45,32M 3S
25,48,31M 16S
27,48,31M 6S
27,50,30M 46S
27,51,30M 24S
27,53,30M 1S
29,53,29M 35S
29,54,28M 51S
29,55,28M 51S
31,55,28M 39S
31,57,27M 59S
34,57,27M 44S
37,57,26M 59S
37,59,26M 34S
39,59,25M 57S
39,61,25M 41S
40,61,24M 34S
41,61,24M 34S
41,63,24M 6S
43,63,24M 2S
44,63,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
46,63,23M 2S
46,65,22M 41S
46,68,21M 54S
49,68,21M 13S
49,70,21M 6S
51,70,20M 30S
52,70,20M 30S
52,72,19M 50S
55,72,19M 35S
55,74,19M 12S
57,74,18M 41S
57,76,18M 27S
57,77,18M 27S
59,77,17M 54S
59,80,17M 35S
61,80,16M 54S
61,81,16M 13S
61,82,16M 13S
61,85,15M 42S
64,85,15M 31S
64,87,14M 52S
67,87,14M 38S
67,90,14M 4S
70,90,13M 47S
70,92,13M 34S
71,92,13M 24S
71,94,13M 0S
71,96,12M 52S
72,96,12M 42S
73,96,12M 42S
73,98,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,100,11M 30S
73,103,10M 57S
76,103,10M 32S
76,105,10M 5S
78,105,9M 55S
78,108,9M 29S
80,108,9M 6S
81,108,8M 44S
82,108,8M 44S
82,110,8M 34S
82,111,8M 34S
84,111,7M 47S
84,113,6M 41S
86,113,6M 28S
86,116,6M 18S
87,116,6M 8S
87,118,5M 53S
88,118,5M 39S
89,118,5M 39S
89,120,5M 17S
89,122,4M 14S
89,123,4M 14S
92,123,3M 50S
92,126,3M 40S
93,126,2M 35S
94,126,2M 35S
94,128,2M 4S
96,128,55S
96,129,21S
96,130,21S
End of 4th quarter,NA,0S
