Memphis,Toronto,time_rem
34-33,27-41,48M 0S
2,0,47M 41S
4,0,47M 18S
4,2,45M 14S
7,2,44M 51S
7,5,44M 37S
9,5,43M 32S
11,5,43M 20S
11,7,43M 6S
14,7,42M 56S
16,7,42M 35S
16,9,42M 10S
19,9,41M 46S
19,11,41M 1S
21,11,40M 40S
21,13,40M 32S
21,15,39M 54S
23,15,39M 37S
23,17,39M 22S
26,17,38M 52S
26,20,38M 31S
26,22,38M 4S
26,24,37M 24S
26,25,36M 28S
26,26,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,26,35M 13S
28,28,34M 51S
28,29,34M 51S
29,29,34M 18S
30,29,34M 18S
30,30,33M 2S
30,31,33M 2S
30,33,32M 29S
30,35,30M 12S
33,35,29M 32S
33,37,29M 12S
34,37,28M 59S
35,37,28M 59S
37,37,28M 27S
40,37,27M 52S
40,39,27M 39S
40,40,27M 39S
40,41,26M 40S
42,41,26M 24S
42,43,25M 51S
43,43,25M 23S
45,43,25M 14S
47,43,24M 52S
47,45,24M 4S
47,46,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,49,23M 39S
49,49,23M 21S
52,49,22M 50S
53,49,22M 31S
54,49,22M 31S
54,52,22M 20S
54,55,21M 59S
56,55,21M 42S
56,56,21M 15S
58,56,20M 53S
59,56,20M 53S
59,58,20M 34S
62,58,20M 21S
62,59,19M 21S
64,59,18M 28S
64,61,18M 20S
66,61,17M 56S
66,63,17M 36S
68,63,17M 25S
69,63,16M 50S
70,63,16M 50S
72,63,16M 17S
73,63,15M 58S
74,63,15M 31S
74,65,15M 14S
76,65,15M 2S
76,67,14M 21S
79,67,14M 2S
79,70,13M 42S
79,72,12M 35S
81,72,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,74,11M 24S
82,74,11M 4S
85,74,9M 40S
85,76,9M 26S
85,77,9M 2S
85,78,9M 2S
Jump ball: K. Birch vs. J. Valančiūnas (R. Hood gains possession),NA,8M 48S
85,81,7M 49S
85,84,7M 21S
87,84,6M 59S
87,86,6M 41S
90,86,6M 28S
93,86,6M 7S
96,86,5M 28S
96,87,5M 14S
98,87,4M 58S
98,88,4M 12S
98,89,4M 12S
99,89,3M 3S
100,89,3M 3S
100,92,2M 51S
101,92,2M 35S
102,92,2M 35S
102,95,1M 56S
102,97,1M 25S
104,97,1M 4S
107,97,34S
108,97,25S
109,97,25S
109,98,20S
109,99,20S
End of 4th quarter,NA,0S
