Chicago,Charlotte,time_rem
7-8,6-9,48M 0S
0,2,47M 45S
0,4,47M 2S
2,4,46M 49S
3,4,46M 49S
3,6,46M 29S
4,6,46M 19S
7,6,46M 8S
9,6,45M 48S
9,9,45M 5S
9,12,44M 40S
11,12,43M 56S
11,14,43M 39S
11,17,43M 8S
13,17,42M 47S
13,19,41M 55S
16,19,41M 20S
16,21,41M 10S
16,22,41M 10S
19,22,40M 17S
21,22,40M 0S
21,24,38M 49S
23,24,38M 40S
25,24,37M 30S
27,24,37M 16S
27,25,37M 10S
27,26,37M 10S
30,26,36M 52S
30,29,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,31,35M 40S
32,31,34M 55S
34,31,34M 42S
37,31,34M 14S
37,32,33M 58S
37,35,33M 34S
39,35,33M 20S
41,35,32M 57S
41,37,31M 39S
43,37,31M 20S
43,39,31M 3S
45,39,30M 46S
45,42,30M 0S
47,42,29M 12S
47,44,28M 41S
47,46,28M 17S
49,46,27M 58S
51,46,27M 20S
51,48,26M 58S
54,48,26M 45S
56,48,26M 13S
56,49,25M 58S
56,50,25M 58S
56,51,25M 27S
58,51,25M 6S
58,53,24M 27S
59,53,24M 12S
61,53,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,53,23M 48S
65,53,23M 5S
65,55,22M 52S
65,57,22M 25S
66,57,22M 17S
67,57,22M 17S
67,58,21M 54S
67,60,21M 30S
69,60,20M 47S
Jump ball: B. Biyombo vs. D. Gafford (D. Graham gains possession),NA,20M 26S
69,62,20M 5S
69,63,20M 5S
72,63,19M 46S
72,65,19M 25S
74,65,19M 16S
74,67,19M 2S
74,69,18M 44S
76,69,18M 31S
76,71,18M 10S
78,71,17M 50S
81,71,17M 25S
83,71,17M 4S
83,72,16M 53S
83,73,16M 53S
83,74,16M 2S
85,74,15M 51S
85,75,15M 37S
85,76,15M 37S
85,78,15M 25S
87,78,15M 9S
87,80,14M 18S
90,80,13M 58S
90,82,13M 47S
90,83,13M 47S
92,83,12M 42S
95,83,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,83,11M 30S
97,85,10M 45S
97,87,10M 4S
99,87,9M 54S
99,89,9M 41S
101,89,9M 17S
101,91,9M 5S
102,91,8M 50S
103,91,8M 50S
103,94,8M 37S
103,95,8M 4S
103,96,7M 33S
103,97,7M 33S
106,97,6M 28S
108,97,5M 5S
108,99,4M 58S
108,100,4M 58S
108,102,4M 26S
109,102,4M 9S
110,102,4M 9S
110,104,4M 0S
112,104,3M 38S
115,104,2M 56S
115,106,2M 34S
117,106,2M 16S
117,108,1M 58S
120,108,1M 48S
123,108,1M 19S
123,110,1M 11S
End of 4th quarter,NA,0S
