Indiana,Washington,time_rem
21-24,17-28,48M 0S
0,0,47M 45S
0,2,46M 56S
3,2,46M 22S
4,2,45M 54S
4,4,45M 21S
4,6,45M 1S
6,6,44M 26S
9,6,43M 38S
9,8,43M 6S
9,10,42M 48S
11,10,42M 33S
12,10,42M 33S
15,10,42M 13S
15,12,42M 0S
18,12,40M 55S
18,14,40M 12S
18,16,39M 33S
18,18,39M 6S
20,18,38M 40S
22,18,38M 18S
22,19,38M 10S
22,20,38M 10S
24,20,37M 57S
24,22,37M 45S
26,22,37M 10S
26,24,37M 1S
28,24,36M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,25,35M 40S
28,26,35M 40S
28,28,35M 21S
30,28,34M 57S
30,30,34M 42S
32,30,34M 35S
32,31,34M 13S
32,32,34M 13S
34,32,33M 53S
36,32,33M 36S
36,34,33M 13S
36,36,33M 0S
38,36,32M 43S
38,39,32M 24S
40,39,32M 7S
Jump ball: C. Hutchison vs. T. McConnell (G. Mathews gains possession),NA,31M 55S
42,39,31M 34S
42,42,31M 12S
43,42,30M 51S
44,42,30M 51S
44,44,30M 42S
44,47,30M 18S
46,47,29M 29S
46,49,29M 18S
46,51,28M 7S
49,51,27M 56S
49,53,27M 31S
50,53,27M 10S
51,53,27M 10S
51,55,26M 25S
53,55,26M 13S
53,57,25M 57S
55,57,25M 15S
57,57,24M 26S
58,57,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,59,23M 23S
58,62,23M 2S
58,64,22M 38S
61,64,22M 24S
61,66,22M 9S
64,66,21M 48S
64,68,21M 32S
65,68,21M 25S
66,68,21M 25S
68,68,20M 50S
69,68,20M 50S
69,69,20M 39S
69,71,20M 27S
70,71,20M 16S
71,71,20M 16S
71,73,19M 19S
74,73,18M 53S
75,73,18M 27S
75,75,18M 16S
75,78,17M 53S
76,78,17M 41S
77,78,17M 41S
77,80,16M 36S
78,80,16M 26S
80,80,16M 10S
82,80,15M 41S
82,82,15M 23S
83,82,15M 12S
85,82,15M 1S
85,84,14M 16S
87,84,14M 1S
88,84,14M 1S
88,86,13M 43S
91,86,13M 25S
91,88,13M 10S
92,88,12M 55S
92,90,12M 41S
92,92,12M 27S
92,95,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,97,11M 31S
95,97,11M 20S
96,97,10M 52S
97,97,10M 52S
97,98,10M 33S
100,98,10M 24S
100,100,10M 7S
102,100,9M 52S
102,102,9M 40S
102,103,9M 40S
104,103,9M 28S
104,106,9M 10S
105,106,9M 1S
105,108,8M 38S
107,108,8M 22S
107,110,8M 14S
108,110,8M 7S
109,110,7M 36S
111,110,7M 7S
114,110,6M 33S
116,110,5M 47S
116,113,5M 27S
116,115,4M 59S
116,117,4M 37S
116,119,4M 3S
116,121,2M 39S
118,121,2M 32S
118,124,2M 16S
118,125,1M 50S
120,125,1M 1S
120,128,44S
122,128,38S
122,130,16S
122,131,10S
122,132,10S
124,132,4S
End of 4th quarter,NA,0S
