Golden State,Detroit,time_rem
2-2,0-4,48M 0S
2,0,47M 47S
4,0,47M 10S
4,3,46M 37S
7,3,45M 37S
7,4,45M 17S
7,5,45M 17S
10,5,44M 30S
10,7,44M 10S
12,7,43M 55S
12,10,42M 40S
12,12,42M 7S
12,13,42M 7S
14,13,41M 54S
14,16,39M 57S
16,16,39M 40S
16,18,39M 26S
17,18,38M 52S
19,18,38M 17S
19,21,38M 7S
20,21,37M 50S
20,23,37M 40S
21,23,37M 32S
21,24,37M 22S
21,25,37M 22S
21,26,36M 33S
21,27,36M 33S
24,27,36M 30S
24,29,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,32,34M 54S
24,35,34M 18S
26,35,34M 4S
26,38,33M 43S
27,38,32M 57S
28,38,32M 57S
28,39,32M 26S
28,40,32M 26S
31,40,31M 59S
33,40,31M 4S
35,40,30M 40S
35,42,29M 45S
35,45,28M 20S
36,45,28M 8S
36,47,27M 46S
37,47,27M 43S
40,47,26M 32S
42,47,25M 38S
42,48,25M 23S
42,49,25M 23S
44,49,25M 8S
44,50,25M 1S
45,50,24M 53S
45,51,24M 24S
46,51,24M 3S
47,51,24M 3S
48,51,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,53,23M 16S
51,53,23M 7S
53,53,22M 9S
53,54,21M 43S
56,54,21M 1S
58,54,20M 43S
58,56,19M 28S
61,56,18M 41S
63,56,18M 12S
65,56,17M 49S
65,58,17M 29S
65,59,17M 6S
65,60,17M 6S
65,62,16M 30S
67,62,15M 24S
67,63,15M 8S
67,64,15M 8S
69,64,14M 52S
69,66,14M 34S
70,66,14M 6S
70,69,13M 47S
71,69,13M 37S
72,69,13M 37S
72,70,13M 16S
72,71,13M 16S
75,71,13M 3S
75,73,12M 37S
75,76,12M 25S
76,76,12M 2S
77,76,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,76,11M 11S
79,78,10M 51S
80,78,10M 37S
81,78,10M 37S
81,80,10M 18S
81,83,9M 49S
83,83,9M 36S
83,84,9M 18S
83,85,9M 18S
85,85,9M 3S
86,85,9M 3S
86,87,8M 45S
86,89,8M 22S
89,89,7M 41S
91,89,7M 15S
93,89,6M 40S
95,89,6M 19S
98,89,5M 54S
98,91,5M 37S
101,91,5M 14S
101,93,4M 56S
102,93,4M 47S
103,93,4M 47S
106,93,4M 17S
106,94,3M 53S
106,96,2M 53S
107,96,2M 42S
108,96,2M 42S
108,98,2M 27S
Jump ball: J. Jackson vs. J. Toscano,Anderson (I. Stewart gains possession),2M 14S
108,101,2M 12S
108,103,1M 42S
111,103,1M 25S
112,103,1M 9S
113,103,1M 9S
114,103,1M 9S
116,103,10S
116,106,5S
End of 4th quarter,NA,0S
