Portland,Utah,time_rem
30-21,39-13,48M 0S
0,0,47M 44S
0,2,47M 22S
3,2,47M 6S
3,4,46M 52S
3,7,46M 20S
3,9,45M 41S
5,9,45M 24S
5,11,44M 58S
6,11,44M 45S
7,11,44M 45S
10,11,44M 8S
10,13,43M 49S
13,13,43M 41S
15,13,43M 15S
15,16,42M 39S
18,16,42M 4S
18,18,41M 32S
21,18,41M 9S
21,20,40M 51S
23,20,40M 24S
23,21,39M 12S
23,22,39M 12S
23,25,38M 43S
25,25,38M 25S
27,25,37M 36S
27,27,37M 16S
29,27,36M 39S
29,30,36M 31S
Jump ball: R. Gobert vs. D. Jones (M. Conley gains possession),NA,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,31,35M 38S
29,32,35M 38S
29,34,34M 42S
32,34,34M 30S
34,34,33M 50S
34,36,32M 5S
35,36,31M 11S
36,36,31M 11S
36,37,31M 2S
36,40,30M 39S
38,40,30M 13S
38,42,29M 30S
40,42,29M 15S
40,44,28M 58S
41,44,28M 42S
42,44,28M 42S
42,46,28M 20S
44,46,28M 0S
47,46,27M 38S
48,46,26M 55S
51,46,26M 7S
53,46,25M 20S
54,46,25M 20S
54,48,25M 7S
54,50,24M 49S
54,51,24M 8S
54,52,24M 8S
54,53,24M 8S
56,53,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,53,23M 17S
59,56,22M 50S
61,56,22M 29S
62,56,22M 29S
62,58,22M 10S
62,60,21M 50S
62,61,21M 18S
64,61,21M 4S
65,61,21M 4S
65,64,20M 56S
65,66,20M 33S
65,68,20M 2S
68,68,19M 40S
68,70,18M 31S
68,72,17M 56S
70,72,17M 43S
70,74,17M 36S
70,75,16M 37S
70,76,16M 37S
70,78,16M 6S
70,81,15M 33S
72,81,15M 19S
72,82,15M 6S
72,83,15M 6S
72,84,14M 10S
72,85,14M 10S
72,86,14M 10S
72,88,13M 38S
72,89,13M 38S
72,90,12M 57S
72,91,12M 57S
72,93,12M 30S
75,93,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,93,11M 28S
78,94,11M 10S
80,94,10M 54S
82,94,10M 7S
82,97,9M 46S
82,99,9M 19S
82,100,8M 47S
82,101,8M 47S
82,103,8M 17S
83,103,8M 6S
83,106,7M 54S
83,108,7M 13S
85,108,6M 37S
86,108,6M 37S
88,108,6M 16S
90,108,5M 34S
90,110,4M 45S
90,111,4M 45S
92,111,4M 34S
95,111,3M 43S
97,111,2M 31S
97,113,2M 15S
97,114,2M 15S
99,114,1M 55S
99,117,1M 45S
100,117,1M 17S
101,117,1M 17S
101,119,40S
103,119,24S
103,122,18S
End of 4th quarter,NA,0S
