Phoenix,LA Clippers,time_rem
4-2,2-4,48M 0S
2,0,47M 47S
2,2,47M 24S
5,2,47M 9S
7,2,45M 36S
7,4,45M 0S
7,6,44M 36S
9,6,43M 58S
9,9,43M 50S
12,9,43M 37S
15,9,42M 46S
15,11,42M 31S
15,13,41M 52S
17,13,41M 17S
17,15,41M 2S
Jump ball: D. Booker vs. T. Mann (D. Ayton gains possession),NA,40M 27S
19,15,40M 14S
19,18,40M 0S
19,20,39M 21S
21,20,39M 10S
23,20,38M 39S
26,20,37M 27S
28,20,37M 5S
28,23,36M 52S
31,23,36M 38S
31,26,36M 32S
33,26,36M 12S
33,29,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,30,35M 43S
33,31,35M 43S
35,31,35M 30S
35,33,35M 4S
38,33,34M 44S
38,34,34M 26S
38,35,34M 26S
40,35,34M 14S
43,35,33M 48S
45,35,33M 14S
45,36,32M 57S
45,38,32M 18S
46,38,32M 10S
46,40,31M 54S
46,43,31M 0S
48,43,30M 46S
48,45,30M 26S
48,46,30M 15S
48,47,30M 15S
50,47,29M 23S
50,49,29M 5S
50,50,29M 5S
53,50,28M 47S
53,51,28M 5S
53,52,28M 5S
55,52,27M 54S
56,52,27M 54S
58,52,27M 16S
59,52,26M 51S
60,52,26M 51S
60,54,26M 31S
63,54,26M 13S
63,57,25M 59S
66,57,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,58,23M 37S
66,59,23M 8S
66,60,23M 8S
68,60,22M 41S
68,62,22M 15S
71,62,21M 56S
71,63,21M 47S
71,64,21M 47S
73,64,20M 55S
73,65,20M 16S
75,65,20M 2S
76,65,20M 2S
76,67,19M 44S
78,67,19M 15S
80,67,18M 58S
80,68,18M 42S
82,68,18M 25S
82,70,18M 1S
85,70,16M 42S
85,71,16M 29S
85,72,16M 29S
87,72,16M 17S
89,72,16M 1S
89,74,15M 49S
89,75,15M 12S
89,76,15M 12S
89,79,14M 48S
89,82,13M 43S
92,82,13M 28S
94,82,12M 55S
97,82,12M 9S
97,83,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
99,83,11M 30S
99,85,11M 16S
101,85,10M 58S
103,85,10M 26S
105,85,9M 39S
105,88,9M 13S
105,89,8M 33S
105,90,8M 33S
107,90,8M 16S
107,92,8M 4S
110,92,7M 42S
111,92,7M 42S
113,92,6M 54S
115,92,6M 24S
118,92,5M 49S
119,92,5M 49S
119,95,5M 38S
121,95,5M 22S
121,98,5M 14S
121,100,4M 24S
124,100,2M 21S
126,100,1M 49S
126,102,1M 39S
128,102,1M 18S
130,102,50S
130,103,35S
End of 4th quarter,NA,0S
