Charlotte,LA Clippers,time_rem
20-21,27-16,48M 0S
0,0,47M 41S
0,3,47M 18S
2,3,46M 36S
2,5,46M 14S
2,7,45M 37S
2,10,45M 2S
5,10,44M 46S
5,12,44M 32S
7,12,44M 15S
7,14,43M 52S
10,14,43M 17S
10,16,42M 50S
10,19,42M 13S
10,21,41M 31S
12,21,41M 20S
12,24,41M 5S
14,24,40M 51S
14,26,40M 38S
14,28,40M 8S
17,28,38M 43S
17,30,38M 12S
18,30,38M 3S
18,32,37M 39S
18,33,37M 11S
18,34,37M 11S
18,35,37M 11S
21,35,36M 35S
21,37,36M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,39,35M 44S
21,41,35M 19S
24,41,35M 1S
24,43,33M 49S
26,43,33M 35S
26,45,33M 17S
29,45,33M 3S
29,46,32M 39S
29,47,32M 39S
29,48,32M 39S
30,48,32M 13S
30,50,30M 52S
32,50,30M 30S
32,52,30M 4S
35,52,29M 46S
36,52,29M 25S
37,52,29M 25S
37,54,29M 10S
38,54,28M 44S
38,57,27M 34S
38,59,27M 7S
40,59,26M 47S
42,59,26M 8S
42,60,25M 37S
42,61,25M 37S
42,62,24M 29S
42,63,24M 29S
43,63,24M 13S
44,63,24M 13S
44,66,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,69,23M 44S
44,71,23M 20S
46,71,23M 7S
47,71,23M 7S
50,71,21M 44S
50,74,21M 19S
53,74,20M 58S
56,74,19M 53S
56,75,19M 42S
56,76,19M 42S
57,76,18M 54S
57,78,18M 39S
57,79,18M 39S
57,80,18M 13S
57,81,18M 13S
57,83,17M 42S
57,85,17M 14S
57,86,17M 14S
60,86,16M 34S
63,86,15M 59S
Jump ball: M. Bridges vs. I. Zubac (P. Washington gains possession),NA,15M 47S
66,86,15M 27S
66,87,15M 13S
66,88,15M 13S
66,90,14M 46S
66,91,14M 30S
66,92,14M 30S
69,92,14M 5S
69,94,13M 51S
71,94,13M 46S
71,96,13M 28S
73,96,13M 15S
73,98,12M 31S
74,98,12M 10S
75,98,12M 10S
76,98,12M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,99,11M 11S
76,100,11M 11S
78,100,10M 51S
78,102,10M 9S
78,103,10M 9S
79,103,9M 57S
80,103,9M 57S
80,105,8M 57S
80,107,8M 36S
81,107,8M 6S
82,107,7M 45S
82,109,7M 11S
82,112,6M 38S
Jump ball: B. Biyombo vs. M. Kabengele (M. Bridges gains possession),NA,5M 44S
84,112,5M 35S
86,112,5M 15S
86,115,4M 11S
87,115,3M 50S
87,117,3M 28S
88,117,2M 47S
89,117,2M 47S
91,117,2M 22S
91,120,1M 50S
91,122,1M 19S
94,122,1M 10S
96,122,42S
96,125,25S
97,125,15S
98,125,15S
End of 4th quarter,NA,0S
