Portland,Sacramento,time_rem
7-4,5-7,48M 0S
0,0,47M 45S
1,0,47M 45S
1,2,47M 29S
1,4,47M 13S
4,4,46M 58S
4,6,46M 22S
4,8,45M 54S
6,8,45M 38S
7,8,45M 38S
7,11,45M 8S
9,11,44M 54S
9,14,44M 44S
9,16,44M 17S
12,16,43M 57S
12,19,43M 40S
15,19,43M 24S
15,20,43M 16S
17,20,43M 2S
18,20,42M 37S
19,20,42M 37S
22,20,42M 14S
22,22,41M 58S
22,25,41M 16S
22,27,40M 47S
22,28,39M 53S
22,29,39M 53S
25,29,39M 41S
25,32,39M 23S
27,32,39M 6S
27,33,38M 34S
27,34,38M 34S
27,37,38M 7S
27,38,37M 24S
27,40,36M 56S
30,40,36M 33S
30,43,36M 28S
33,43,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,46,35M 11S
34,46,34M 26S
35,46,34M 26S
38,46,33M 56S
38,48,33M 42S
38,51,32M 57S
38,54,32M 31S
38,56,31M 53S
38,58,31M 20S
41,58,31M 9S
44,58,30M 33S
47,58,30M 7S
47,60,29M 50S
50,60,28M 51S
52,60,28M 15S
52,62,27M 17S
54,62,27M 0S
55,62,26M 37S
56,62,26M 37S
58,62,26M 10S
58,63,25M 49S
58,64,25M 49S
58,67,25M 24S
59,67,25M 12S
60,67,25M 12S
62,67,24M 48S
62,68,24M 46S
65,68,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,70,23M 34S
68,70,23M 15S
68,72,22M 55S
68,75,22M 26S
70,75,22M 13S
70,76,22M 7S
70,77,22M 7S
70,80,21M 23S
70,81,21M 1S
70,82,21M 1S
73,82,20M 46S
73,83,20M 24S
73,86,20M 7S
75,86,19M 54S
75,88,19M 32S
75,91,18M 41S
75,94,18M 15S
78,94,17M 56S
78,96,17M 39S
81,96,17M 18S
84,96,16M 43S
87,96,16M 17S
87,98,15M 36S
90,98,14M 57S
90,100,14M 37S
92,100,14M 20S
94,100,13M 55S
94,103,13M 26S
95,103,13M 7S
96,103,13M 7S
98,103,12M 48S
98,105,12M 16S
100,105,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
103,105,11M 45S
105,105,11M 6S
107,105,10M 53S
107,107,10M 34S
107,109,9M 59S
109,109,9M 45S
110,109,8M 54S
111,109,8M 54S
111,112,8M 40S
113,112,8M 14S
114,112,7M 39S
114,113,7M 28S
114,115,6M 56S
116,115,6M 31S
116,117,5M 55S
119,117,5M 29S
120,117,4M 44S
123,117,4M 20S
123,118,4M 5S
124,118,3M 54S
125,118,3M 54S
125,119,3M 33S
125,120,3M 33S
127,120,3M 20S
127,121,2M 44S
127,123,1M 32S
128,123,1M 0S
128,126,42S
130,126,28S
131,126,14S
132,126,14S
End of 4th quarter,NA,0S
