Denver,Chicago,time_rem
19-15,15-18,48M 0S
0,0,47M 39S
0,1,47M 39S
2,1,47M 4S
4,1,46M 34S
4,3,46M 8S
6,3,44M 40S
8,3,44M 18S
11,3,43M 46S
13,3,43M 24S
16,3,42M 50S
16,5,42M 29S
16,7,42M 15S
18,7,41M 54S
20,7,41M 33S
21,7,41M 33S
21,10,41M 17S
21,12,40M 53S
24,12,40M 44S
24,15,40M 27S
24,18,39M 17S
26,18,38M 59S
26,21,38M 40S
28,21,38M 22S
30,21,38M 0S
30,23,37M 48S
30,25,37M 11S
32,25,37M 0S
34,25,36M 31S
37,25,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
39,25,35M 48S
39,27,35M 28S
39,30,35M 0S
41,30,34M 46S
42,30,34M 46S
42,32,34M 0S
44,32,33M 35S
47,32,33M 7S
47,34,32M 30S
47,36,31M 14S
47,37,30M 45S
47,39,30M 13S
49,39,29M 54S
49,42,28M 46S
51,42,28M 28S
51,43,28M 7S
51,44,27M 40S
51,45,27M 40S
53,45,27M 26S
53,46,27M 26S
55,46,26M 54S
56,46,26M 29S
57,46,26M 29S
59,46,26M 3S
59,48,25M 59S
59,49,25M 59S
59,51,25M 24S
61,51,24M 38S
62,51,24M 38S
62,53,24M 32S
62,55,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,55,23M 46S
67,55,23M 28S
67,57,23M 8S
69,57,22M 47S
69,58,22M 33S
69,59,22M 33S
71,59,22M 12S
71,62,21M 46S
73,62,20M 44S
73,64,20M 21S
73,66,19M 49S
74,66,19M 33S
75,66,19M 33S
77,66,18M 39S
77,69,18M 10S
80,69,18M 2S
80,71,17M 38S
80,72,17M 8S
80,73,15M 33S
80,74,15M 33S
82,74,15M 9S
84,74,14M 44S
84,77,14M 24S
84,80,13M 41S
84,81,13M 25S
84,82,13M 25S
85,82,13M 15S
86,82,13M 15S
86,85,13M 2S
89,85,12M 52S
89,87,12M 40S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,89,11M 42S
89,91,10M 56S
89,93,9M 56S
89,95,8M 54S
91,95,8M 15S
93,95,7M 45S
93,97,7M 30S
95,97,7M 9S
95,99,5M 53S
97,99,5M 31S
98,99,4M 55S
99,99,4M 55S
99,101,4M 46S
101,101,4M 30S
101,104,4M 3S
104,104,3M 34S
104,106,3M 18S
106,106,2M 57S
106,108,2M 14S
108,108,2M 0S
109,108,2M 0S
112,108,1M 39S
112,110,1M 15S
114,110,47S
114,111,16S
114,112,16S
115,112,8S
116,112,8S
117,112,1S
118,112,1S
End of 4th quarter,NA,0S
