Toronto,Philadelphia,time_rem
0-3,3-1,48M 0S
0,0,47M 46S
0,2,47M 40S
1,2,46M 57S
2,2,46M 57S
2,4,46M 43S
2,6,46M 20S
4,6,44M 55S
6,6,44M 26S
6,8,43M 42S
8,8,43M 32S
11,8,42M 39S
11,11,42M 24S
14,11,42M 5S
17,11,41M 28S
17,14,39M 53S
20,14,39M 35S
20,15,39M 23S
20,16,39M 23S
22,16,39M 7S
22,17,38M 48S
25,17,36M 27S
28,17,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,19,35M 29S
28,20,35M 29S
29,20,35M 15S
30,20,35M 15S
30,21,34M 39S
32,21,34M 31S
35,21,33M 31S
35,24,33M 3S
37,24,32M 45S
37,25,31M 58S
37,26,31M 58S
37,28,31M 17S
39,28,30M 57S
41,28,30M 34S
41,29,29M 52S
41,30,29M 52S
41,31,28M 40S
41,32,28M 40S
41,34,28M 18S
44,34,28M 6S
44,35,27M 40S
44,37,27M 10S
44,38,26M 50S
44,39,26M 50S
44,41,26M 18S
44,43,25M 52S
46,43,25M 21S
46,44,25M 6S
46,45,25M 6S
47,45,24M 55S
48,45,24M 55S
48,48,24M 45S
51,48,24M 39S
54,48,24M 25S
56,48,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,48,23M 44S
58,48,23M 44S
58,50,23M 24S
58,51,22M 20S
58,52,22M 20S
61,52,21M 59S
61,54,21M 38S
64,54,21M 30S
64,56,21M 7S
65,56,20M 43S
68,56,20M 22S
70,56,19M 23S
70,58,19M 3S
70,61,18M 31S
73,61,18M 8S
73,63,17M 40S
76,63,17M 10S
76,65,16M 44S
76,68,15M 15S
76,70,14M 46S
76,72,13M 48S
76,74,13M 12S
76,75,12M 2S
76,76,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,76,11M 48S
79,78,10M 11S
82,78,9M 31S
83,78,8M 54S
85,78,8M 52S
85,80,8M 10S
85,82,7M 13S
87,82,6M 55S
87,85,5M 24S
87,87,5M 2S
87,88,4M 1S
87,89,3M 28S
88,89,3M 17S
89,89,3M 17S
89,91,3M 1S
89,92,2M 27S
89,93,2M 27S
91,93,1M 56S
91,96,1M 5S
91,97,25S
91,98,25S
93,98,21S
93,99,10S
93,100,10S
End of 4th quarter,NA,0S
