Sacramento,New Orleans,time_rem
22-32,25-29,48M 0S
0,0,47M 45S
0,2,47M 20S
2,2,46M 14S
4,2,45M 39S
4,4,45M 6S
6,4,44M 47S
6,7,44M 28S
8,7,44M 0S
10,7,42M 55S
11,7,42M 55S
11,10,42M 45S
11,12,42M 10S
13,12,41M 26S
13,14,40M 37S
13,16,40M 16S
13,17,40M 16S
13,19,39M 35S
15,19,39M 22S
15,20,39M 10S
15,21,39M 10S
15,23,38M 44S
17,23,38M 27S
17,25,38M 14S
18,25,37M 35S
19,25,37M 35S
19,27,37M 17S
19,29,36M 50S
19,31,36M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
19,34,35M 29S
19,36,35M 0S
19,38,34M 36S
20,38,33M 22S
22,38,32M 55S
22,40,32M 41S
22,41,32M 41S
23,41,31M 34S
23,43,31M 13S
23,44,31M 13S
23,46,30M 51S
25,46,30M 40S
27,46,30M 12S
27,48,29M 53S
28,48,29M 45S
28,50,29M 27S
28,51,29M 11S
28,53,29M 1S
30,53,28M 50S
31,53,28M 50S
31,55,28M 36S
33,55,28M 22S
35,55,27M 49S
37,55,27M 14S
38,55,27M 3S
39,55,27M 3S
39,57,26M 51S
39,58,26M 14S
39,59,26M 14S
40,59,25M 38S
40,61,25M 28S
40,62,25M 3S
40,63,25M 3S
40,66,24M 39S
41,66,24M 28S
42,66,24M 28S
42,68,24M 10S
45,68,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,68,23M 43S
50,68,23M 21S
50,69,22M 21S
50,70,22M 21S
52,70,22M 5S
52,72,20M 57S
55,72,20M 26S
55,74,19M 43S
56,74,19M 35S
57,74,19M 35S
60,74,17M 9S
62,74,16M 24S
62,77,16M 1S
63,77,15M 47S
66,77,15M 26S
66,79,15M 8S
66,81,14M 26S
66,82,14M 26S
66,84,13M 50S
67,84,13M 45S
69,84,13M 25S
69,85,13M 10S
69,86,13M 10S
70,86,12M 59S
72,86,12M 42S
74,86,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,88,11M 27S
76,88,11M 5S
76,89,10M 56S
78,89,10M 28S
79,89,9M 56S
79,91,9M 43S
81,91,9M 25S
82,91,8M 56S
84,91,8M 33S
84,92,8M 11S
84,93,8M 11S
84,95,7M 51S
87,95,7M 7S
87,97,6M 39S
87,100,6M 3S
90,100,5M 44S
90,101,5M 40S
90,103,5M 19S
93,103,5M 7S
93,104,5M 0S
95,104,4M 44S
97,104,4M 20S
97,106,3M 43S
99,106,3M 6S
101,106,2M 28S
101,107,1M 39S
101,108,1M 39S
101,110,1M 2S
104,110,55S
104,112,36S
107,112,28S
107,113,24S
107,114,24S
108,114,18S
109,114,18S
110,114,18S
110,115,11S
110,116,2S
110,117,2S
End of 4th quarter,NA,0S
