Brooklyn,LA Clippers,time_rem
20-12,22-10,48M 0S
0,0,47M 37S
2,0,47M 3S
2,3,46M 40S
5,3,46M 26S
5,6,45M 40S
5,8,45M 20S
7,8,44M 44S
7,10,43M 56S
10,10,43M 11S
10,12,42M 52S
10,15,42M 19S
12,15,41M 46S
12,18,41M 10S
15,18,40M 57S
15,21,40M 35S
17,21,40M 20S
18,21,40M 8S
18,22,39M 58S
21,22,39M 46S
23,22,39M 23S
25,22,38M 29S
28,22,37M 54S
28,24,37M 29S
28,27,36M 52S
28,30,36M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,32,35M 42S
28,34,35M 6S
30,34,34M 18S
33,34,33M 55S
33,36,33M 37S
34,36,33M 20S
35,36,33M 20S
37,36,32M 54S
37,38,32M 45S
38,38,32M 33S
40,38,32M 6S
40,40,31M 43S
42,40,31M 0S
44,40,30M 5S
44,42,29M 20S
46,42,29M 10S
48,42,28M 21S
50,42,28M 4S
50,43,27M 47S
50,44,27M 47S
52,44,27M 7S
52,46,26M 55S
52,48,26M 23S
53,48,26M 11S
54,48,26M 11S
56,48,25M 41S
56,51,25M 28S
58,51,25M 15S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,53,23M 49S
60,53,22M 54S
60,55,22M 39S
62,55,22M 27S
62,58,22M 11S
64,58,21M 58S
67,58,21M 27S
69,58,21M 6S
69,60,20M 46S
69,63,20M 14S
71,63,19M 56S
71,65,19M 37S
71,67,19M 19S
73,67,18M 53S
75,67,17M 13S
75,69,16M 54S
77,69,16M 42S
77,71,16M 27S
80,71,16M 15S
80,74,15M 46S
82,74,15M 30S
85,74,14M 38S
85,76,14M 13S
87,76,13M 33S
87,79,13M 13S
88,79,12M 55S
89,79,12M 55S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,79,11M 12S
94,79,10M 51S
94,81,10M 5S
95,81,8M 52S
96,81,8M 52S
96,83,8M 38S
96,84,8M 14S
96,85,8M 14S
96,88,7M 19S
96,90,6M 54S
99,90,6M 34S
99,92,6M 19S
101,92,6M 1S
101,93,4M 41S
101,94,4M 41S
101,97,4M 8S
103,97,3M 42S
103,98,3M 27S
103,99,3M 27S
105,99,3M 2S
107,99,2M 35S
107,101,2M 23S
107,102,1M 53S
107,103,1M 53S
108,103,1M 13S
108,106,1M 2S
108,107,28S
108,108,28S
110,108,11S
111,108,7S
112,108,7S
End of 4th quarter,NA,0S
