Phoenix,Sacramento,time_rem
1-1,2-0,48M 0S
0,0,47M 50S
0,2,47M 35S
0,4,47M 11S
0,7,46M 42S
0,8,46M 11S
0,11,45M 29S
2,11,45M 15S
2,13,44M 42S
2,15,44M 18S
4,15,43M 53S
6,15,43M 10S
9,15,42M 50S
9,17,41M 57S
12,17,41M 21S
12,19,40M 46S
12,20,40M 5S
12,21,40M 5S
15,21,39M 49S
15,23,39M 41S
17,23,39M 26S
19,23,38M 50S
19,25,38M 39S
21,25,38M 21S
21,27,38M 6S
21,29,37M 25S
23,29,37M 14S
25,29,36M 39S
25,31,36M 29S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,32,35M 28S
25,33,35M 28S
27,33,35M 16S
29,33,34M 33S
31,33,34M 22S
33,33,33M 56S
33,35,33M 33S
33,37,33M 13S
33,38,33M 13S
35,38,32M 46S
37,38,31M 53S
37,40,31M 16S
39,40,30M 57S
39,43,30M 45S
39,45,30M 13S
39,48,29M 23S
41,48,28M 35S
41,49,28M 20S
41,50,28M 20S
44,50,28M 3S
44,52,27M 45S
47,52,27M 28S
47,53,26M 16S
47,54,26M 16S
49,54,25M 42S
51,54,25M 16S
51,56,24M 58S
52,56,24M 35S
53,56,24M 35S
54,56,24M 35S
54,58,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,60,23M 8S
54,62,22M 51S
57,62,22M 22S
59,62,21M 59S
62,62,21M 26S
65,62,20M 57S
65,65,20M 23S
67,65,19M 53S
67,66,19M 26S
67,67,18M 53S
67,68,18M 36S
69,68,18M 22S
69,70,18M 4S
71,70,17M 56S
72,70,17M 56S
74,70,16M 50S
74,72,16M 37S
74,73,15M 16S
74,75,14M 45S
77,75,14M 36S
77,77,14M 5S
77,79,13M 30S
79,79,13M 6S
79,81,12M 51S
79,83,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,85,11M 21S
79,87,10M 51S
80,87,10M 38S
81,87,10M 38S
83,87,9M 34S
83,89,9M 15S
85,89,8M 15S
86,89,8M 15S
88,89,7M 42S
88,90,7M 35S
88,91,7M 35S
89,91,7M 19S
90,91,7M 19S
90,93,5M 45S
90,95,4M 48S
92,95,4M 20S
92,96,4M 5S
92,97,4M 5S
95,97,3M 41S
95,99,2M 27S
97,99,2M 6S
97,101,1M 43S
97,102,1M 43S
99,102,1M 32S
100,102,1M 8S
100,103,49S
100,104,49S
100,105,15S
100,106,4S
103,106,0S
End of 4th quarter,NA,-12M 0S
