LA Lakers,Phoenix,time_rem
2-3,3-2,48M 0S
3,0,47M 40S
5,0,47M 8S
5,3,46M 32S
8,3,46M 16S
8,5,45M 8S
10,5,44M 13S
10,7,43M 59S
10,10,43M 23S
10,11,42M 46S
10,13,42M 12S
10,15,41M 46S
10,16,41M 46S
10,19,41M 7S
10,21,40M 46S
13,21,40M 31S
13,23,39M 47S
14,23,39M 28S
15,23,39M 28S
17,23,38M 42S
17,26,38M 0S
19,26,37M 42S
19,28,37M 27S
19,29,37M 27S
21,29,37M 10S
23,29,36M 46S
24,29,36M 46S
24,31,36M 35S
26,31,36M 29S
26,34,36M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,36,35M 45S
26,38,35M 10S
26,40,34M 39S
27,40,34M 7S
27,41,33M 9S
27,42,33M 9S
27,43,32M 39S
27,45,31M 44S
27,48,31M 23S
27,50,30M 37S
28,50,30M 29S
28,52,30M 4S
28,55,29M 29S
29,55,28M 25S
31,55,28M 21S
32,55,28M 21S
32,58,27M 41S
32,60,27M 18S
33,60,27M 4S
34,60,27M 4S
34,62,26M 17S
36,62,25M 37S
36,64,25M 19S
36,66,24M 48S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
36,68,23M 4S
39,68,22M 45S
39,71,22M 9S
42,71,21M 58S
42,74,21M 19S
42,76,20M 19S
42,78,19M 30S
45,78,19M 20S
45,79,18M 47S
45,80,18M 47S
48,80,18M 19S
50,80,17M 16S
50,82,15M 51S
53,82,15M 42S
53,85,15M 19S
54,85,15M 1S
55,85,15M 1S
55,87,14M 22S
58,87,13M 51S
61,87,13M 25S
61,88,13M 13S
61,89,13M 13S
63,89,12M 58S
63,92,12M 27S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
63,93,11M 44S
63,94,11M 44S
64,94,11M 8S
67,94,10M 6S
67,96,9M 53S
67,98,9M 2S
69,98,8M 39S
69,100,8M 19S
69,101,8M 19S
69,102,8M 6S
69,103,8M 6S
71,103,7M 34S
72,103,6M 51S
73,103,6M 51S
73,105,6M 31S
73,107,5M 5S
76,107,4M 48S
78,107,4M 24S
79,107,4M 24S
79,109,4M 17S
81,109,3M 44S
Jump ball: J. Smith vs. M. Harrell (E. Moore gains possession),NA,2M 52S
83,109,2M 18S
83,112,2M 2S
85,112,1M 35S
85,115,1M 15S
End of 4th quarter,NA,0S
