Boston,Brooklyn,time_rem
0-1,1-0,48M 0S
0,0,47M 38S
0,2,46M 49S
2,2,46M 29S
4,2,45M 58S
7,2,44M 53S
7,4,44M 34S
10,4,44M 17S
13,4,43M 52S
13,6,43M 31S
13,8,43M 7S
13,10,42M 29S
15,10,42M 5S
18,10,41M 9S
18,11,40M 57S
18,12,40M 57S
18,14,40M 0S
18,15,39M 44S
18,16,39M 44S
21,16,37M 24S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,16,35M 42S
23,18,35M 26S
24,18,35M 3S
25,18,35M 3S
25,20,34M 52S
26,20,34M 12S
27,20,34M 12S
29,20,33M 51S
32,20,33M 20S
32,22,32M 56S
32,24,32M 20S
32,25,31M 47S
32,26,31M 47S
32,27,31M 22S
32,28,31M 22S
34,28,31M 9S
34,30,30M 55S
34,31,30M 55S
36,31,30M 6S
36,33,29M 42S
37,33,29M 8S
38,33,29M 8S
38,35,28M 59S
40,35,28M 40S
43,35,28M 5S
43,37,27M 48S
44,37,27M 13S
44,38,26M 49S
47,38,26M 30S
47,41,26M 18S
49,41,26M 2S
49,42,25M 14S
49,43,25M 14S
52,43,25M 2S
52,45,24M 49S
52,47,24M 32S
53,47,24M 15S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,49,23M 33S
53,50,23M 9S
53,51,23M 9S
53,54,22M 13S
55,54,21M 31S
57,54,21M 3S
57,57,20M 45S
57,60,20M 19S
57,62,19M 48S
57,65,19M 16S
58,65,18M 29S
59,65,18M 29S
59,67,17M 32S
61,67,16M 36S
61,69,16M 20S
63,69,16M 1S
63,72,15M 44S
65,72,15M 29S
66,72,15M 2S
67,72,15M 2S
67,73,14M 40S
67,74,14M 40S
67,76,14M 2S
69,76,13M 50S
71,76,13M 27S
73,76,12M 48S
73,78,12M 26S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,78,10M 39S
75,80,10M 6S
75,81,8M 37S
75,82,8M 37S
77,82,8M 4S
78,82,7M 27S
79,82,7M 27S
79,84,6M 38S
79,87,6M 6S
79,89,5M 48S
79,90,5M 8S
79,91,5M 8S
81,91,4M 52S
81,92,4M 29S
81,94,3M 27S
82,94,3M 22S
82,97,2M 58S
82,99,2M 21S
83,99,2M 0S
84,99,2M 0S
85,99,2M 0S
88,99,1M 55S
88,100,1M 32S
88,101,1M 32S
91,101,1M 19S
92,101,56S
93,101,56S
93,102,53S
93,103,53S
93,104,30S
End of 4th quarter,NA,0S
