Cleveland,Miami,time_rem
14-25,22-18,48M 0S
0,2,47M 39S
0,5,47M 9S
2,5,46M 36S
5,5,46M 4S
7,5,45M 24S
9,5,44M 53S
9,8,44M 42S
9,10,44M 18S
9,11,44M 18S
11,11,44M 6S
13,11,43M 28S
15,11,43M 5S
15,13,42M 49S
16,13,42M 40S
17,13,42M 40S
17,15,42M 27S
17,17,41M 57S
17,19,40M 40S
20,19,40M 20S
20,21,39M 56S
20,22,39M 22S
20,23,39M 22S
20,24,38M 58S
20,25,38M 58S
22,25,38M 28S
22,28,38M 18S
24,28,37M 49S
24,30,37M 21S
24,33,37M 4S
26,33,36M 55S
26,36,36M 42S
26,37,36M 22S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,37,35M 6S
28,39,34M 53S
30,39,33M 48S
32,39,33M 28S
34,39,33M 14S
36,39,32M 54S
36,41,32M 38S
36,42,32M 27S
36,44,32M 17S
36,45,32M 17S
38,45,31M 49S
40,45,30M 57S
40,46,30M 14S
40,47,30M 14S
40,49,30M 0S
42,49,29M 44S
42,51,28M 58S
42,52,28M 58S
44,52,28M 14S
44,54,27M 8S
44,56,26M 38S
45,56,26M 22S
46,56,26M 22S
46,58,24M 55S
46,60,24M 41S
46,62,24M 13S
48,62,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,64,23M 21S
51,64,23M 14S
51,66,22M 50S
51,68,22M 29S
54,68,22M 5S
54,71,20M 50S
54,73,20M 26S
57,73,20M 3S
57,76,19M 31S
59,76,19M 8S
59,78,18M 21S
62,78,17M 56S
62,80,17M 42S
62,83,17M 4S
63,83,16M 31S
63,84,15M 53S
63,85,15M 53S
66,85,15M 31S
69,85,15M 11S
69,87,14M 56S
69,89,14M 26S
70,89,14M 16S
70,91,13M 38S
72,91,13M 10S
72,93,12M 52S
73,93,12M 36S
74,93,12M 36S
74,95,12M 4S
76,95,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
Jump ball: B. Adebayo vs. J. McGee (G. Dragić gains possession),NA,10M 57S
77,95,10M 17S
77,98,9M 44S
79,98,9M 3S
79,99,8M 40S
79,100,8M 40S
79,101,8M 40S
81,101,8M 16S
84,101,7M 31S
84,103,5M 6S
86,103,4M 57S
88,103,4M 15S
90,103,3M 37S
90,104,3M 26S
90,105,3M 26S
92,105,3M 5S
93,105,3M 5S
93,107,1M 54S
93,108,1M 54S
93,110,1M 40S
96,110,1M 28S
98,110,57S
98,113,36S
End of 4th quarter,NA,0S
