Miami,Philadelphia,time_rem
4-5,8-4,48M 0S
0,0,47M 46S
0,3,46M 34S
0,4,46M 1S
0,5,46M 1S
3,5,45M 49S
4,5,45M 49S
4,7,45M 36S
6,7,44M 50S
6,9,44M 14S
6,12,43M 20S
6,15,43M 1S
8,15,42M 28S
9,15,41M 56S
11,15,41M 5S
11,18,40M 55S
14,18,40M 17S
14,19,39M 55S
14,20,39M 55S
14,23,39M 25S
14,25,39M 2S
16,25,38M 41S
16,27,38M 25S
17,27,37M 7S
18,27,37M 7S
19,27,36M 49S
22,27,36M 29S
22,28,36M 12S
25,28,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,28,35M 45S
30,28,35M 20S
30,29,34M 55S
32,29,34M 46S
32,31,34M 30S
32,33,33M 27S
35,33,33M 16S
35,36,33M 4S
37,36,32M 46S
37,39,32M 33S
39,39,31M 41S
39,40,31M 19S
42,40,31M 6S
42,43,30M 56S
45,43,30M 39S
47,43,29M 11S
50,43,28M 48S
50,45,28M 25S
52,45,27M 38S
52,47,27M 14S
55,47,26M 37S
58,47,25M 53S
58,49,25M 35S
60,49,25M 17S
60,51,25M 0S
60,53,24M 35S
63,53,24M 16S
63,55,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,57,23M 23S
66,57,22M 41S
68,57,22M 15S
68,60,22M 3S
70,60,21M 32S
72,60,21M 5S
72,63,20M 55S
75,63,20M 39S
76,63,20M 39S
76,65,20M 26S
78,65,20M 13S
78,67,20M 2S
78,69,19M 34S
78,71,19M 8S
78,74,18M 41S
78,76,18M 14S
78,77,18M 14S
78,79,17M 28S
78,80,17M 28S
78,82,17M 2S
81,82,16M 49S
81,83,16M 39S
81,84,16M 39S
81,87,15M 41S
83,87,15M 29S
83,90,14M 55S
86,90,14M 44S
86,91,14M 14S
88,91,14M 0S
88,93,13M 45S
90,93,13M 22S
90,96,13M 8S
92,96,12M 55S
95,96,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,98,11M 48S
96,98,11M 34S
96,100,10M 14S
98,100,9M 58S
98,102,9M 41S
98,105,8M 39S
98,108,8M 10S
98,110,7M 43S
99,110,6M 35S
100,110,6M 35S
101,110,6M 35S
103,110,5M 48S
105,110,4M 51S
105,111,4M 39S
105,112,4M 39S
107,112,4M 18S
109,112,3M 29S
110,112,3M 29S
110,115,3M 0S
111,115,2M 46S
112,115,2M 46S
115,115,2M 28S
117,115,1M 13S
119,115,45S
120,115,32S
120,118,22S
120,120,4S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: P. Achiuwa vs. J. Embiid (T. Herro gains possession),NA,5M 0S
121,120,3M 58S
122,120,3M 58S
122,122,3M 49S
124,122,3M 35S
124,124,3M 9S
124,126,2M 37S
124,127,2M 37S
126,127,2M 19S
126,129,2M 3S
129,129,1M 5S
130,129,1M 5S
130,131,52S
132,131,44S
132,134,26S
132,135,8S
132,136,8S
133,136,5S
134,136,5S
134,137,4S
End of 1st overtime,NA,0S
