Minnesota,Houston,time_rem
19-44,15-47,48M 0S
0,0,47M 48S
0,2,47M 37S
2,2,46M 56S
5,2,46M 40S
5,4,45M 49S
8,4,45M 5S
8,6,44M 55S
10,6,44M 26S
12,6,43M 49S
12,8,43M 32S
12,9,43M 32S
14,9,43M 12S
14,11,42M 58S
14,13,41M 26S
15,13,41M 14S
16,13,41M 14S
Jump ball: K. Martin vs. J. McDaniels (J. Okogie gains possession),NA,40M 13S
16,15,40M 4S
19,15,39M 18S
21,15,38M 43S
23,15,38M 31S
23,16,38M 8S
25,16,37M 48S
25,18,37M 25S
28,18,37M 5S
28,21,36M 47S
28,23,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,23,35M 49S
32,23,35M 14S
32,24,35M 3S
35,24,34M 36S
35,27,34M 20S
35,29,33M 53S
37,29,32M 55S
38,29,32M 33S
38,30,32M 19S
38,31,32M 19S
38,33,32M 4S
38,35,31M 38S
40,35,30M 17S
40,37,30M 3S
43,37,29M 49S
43,39,29M 6S
46,39,28M 48S
49,39,27M 57S
49,41,27M 30S
51,41,27M 0S
51,43,26M 41S
53,43,26M 28S
53,45,26M 1S
53,47,25M 7S
54,47,24M 49S
55,47,24M 49S
57,47,24M 27S
59,47,24M 5S
59,50,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,51,23M 46S
59,52,23M 46S
59,55,23M 2S
61,55,22M 52S
61,57,22M 45S
61,59,22M 15S
63,59,21M 33S
63,61,21M 12S
64,61,20M 47S
64,63,19M 25S
66,63,19M 17S
66,65,18M 25S
66,67,17M 54S
69,67,17M 46S
69,70,17M 25S
69,72,17M 2S
71,72,16M 51S
71,73,16M 14S
71,74,16M 14S
Jump ball: K. Towns vs. K. Martin (A. Bradley gains possession),NA,16M 2S
71,75,15M 41S
71,77,15M 13S
73,77,14M 58S
75,77,13M 37S
75,79,13M 17S
78,79,12M 45S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,79,11M 46S
80,81,11M 5S
80,83,10M 30S
81,83,10M 8S
82,83,10M 8S
82,85,9M 52S
83,85,9M 40S
84,85,9M 40S
Jump ball: K. Towns vs. J. Tate (A. Brooks gains possession),NA,9M 23S
85,85,9M 23S
86,85,9M 23S
88,85,8M 39S
90,85,8M 9S
90,86,7M 53S
90,87,7M 53S
92,87,7M 47S
94,87,7M 14S
94,89,6M 56S
96,89,6M 38S
98,89,6M 16S
98,90,5M 55S
98,91,5M 55S
100,91,5M 38S
100,93,5M 22S
102,93,4M 9S
102,94,4M 0S
102,95,4M 0S
102,97,3M 43S
102,100,3M 22S
102,102,2M 38S
103,102,2M 10S
104,102,2M 10S
106,102,1M 37S
108,102,1M 21S
110,102,56S
110,104,44S
112,104,37S
114,104,24S
114,107,17S
End of 4th quarter,NA,0S
