Oklahoma City,Washington,time_rem
20-38,24-33,48M 0S
0,0,47M 57S
0,1,47M 29S
0,2,47M 29S
2,2,47M 3S
2,4,46M 49S
2,6,45M 48S
3,6,45M 36S
4,6,45M 36S
4,8,45M 22S
4,9,45M 22S
6,9,45M 10S
6,11,44M 59S
6,13,44M 27S
6,15,44M 24S
7,15,44M 12S
8,15,44M 12S
8,17,44M 2S
11,17,43M 44S
11,19,43M 27S
14,19,43M 12S
14,21,42M 56S
14,23,42M 33S
17,23,42M 27S
17,25,41M 49S
19,25,41M 18S
19,26,41M 5S
19,27,41M 5S
21,27,40M 44S
21,29,39M 57S
21,30,39M 23S
21,31,39M 23S
21,32,38M 47S
23,32,37M 59S
23,35,37M 54S
23,36,37M 54S
24,36,37M 31S
25,36,37M 31S
25,38,37M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,39,35M 30S
27,39,35M 21S
27,41,35M 6S
30,41,34M 43S
30,43,34M 23S
31,43,34M 16S
31,46,33M 41S
31,48,32M 51S
34,48,32M 37S
34,49,32M 22S
35,49,32M 12S
36,49,32M 12S
36,51,31M 51S
38,51,30M 26S
40,51,29M 58S
42,51,29M 24S
42,53,28M 52S
45,53,28M 38S
45,55,28M 15S
47,55,27M 28S
47,56,26M 57S
48,56,26M 39S
50,56,26M 2S
52,56,25M 40S
52,57,25M 31S
55,57,24M 50S
55,59,24M 40S
58,59,24M 32S
58,61,24M 27S
58,64,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,66,23M 0S
58,68,21M 41S
58,69,21M 41S
58,71,21M 29S
60,71,20M 27S
61,71,20M 27S
63,71,19M 40S
63,73,19M 24S
Jump ball: A. Len vs. M. Brown (D. Avdija gains possession),NA,19M 11S
63,75,19M 7S
64,75,18M 55S
Jump ball: A. Len vs. K. Williams (D. Avdija gains possession),NA,18M 30S
65,75,18M 18S
66,75,18M 18S
66,77,17M 48S
68,77,17M 24S
68,80,17M 4S
71,80,16M 44S
71,83,16M 31S
72,83,16M 18S
73,83,16M 18S
73,85,16M 2S
75,85,15M 42S
75,88,15M 25S
77,88,14M 54S
79,88,14M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,90,11M 40S
80,90,11M 29S
81,90,11M 29S
83,90,10M 55S
84,90,10M 38S
85,90,10M 38S
85,92,10M 10S
88,92,9M 52S
90,92,9M 2S
90,94,8M 48S
90,96,8M 17S
91,96,8M 3S
92,96,8M 3S
92,99,7M 52S
95,99,7M 43S
95,102,7M 21S
98,102,6M 58S
98,104,6M 11S
98,106,5M 42S
101,106,5M 29S
101,108,5M 2S
103,108,4M 44S
103,111,4M 23S
105,111,3M 59S
105,114,3M 47S
105,115,2M 44S
105,116,2M 44S
107,116,2M 9S
107,118,1M 11S
107,119,50S
End of 4th quarter,NA,0S
