San Antonio,Chicago,time_rem
21-16,18-21,48M 0S
0,0,47M 35S
0,3,47M 28S
2,3,47M 17S
2,5,46M 54S
4,5,46M 37S
4,7,44M 54S
4,10,44M 22S
4,13,43M 45S
6,13,43M 6S
6,16,42M 53S
7,16,42M 32S
7,18,42M 20S
9,18,42M 0S
9,20,41M 14S
11,20,40M 25S
11,22,39M 54S
13,22,39M 32S
13,25,39M 21S
13,27,38M 26S
13,29,37M 30S
16,29,36M 59S
16,30,36M 19S
16,31,36M 19S
17,31,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
18,31,35M 37S
18,33,35M 20S
20,33,33M 54S
20,35,33M 18S
22,35,33M 2S
22,37,32M 50S
24,37,32M 17S
24,38,30M 54S
24,39,30M 54S
26,39,30M 37S
26,41,30M 23S
26,43,29M 59S
27,43,29M 28S
28,43,29M 28S
28,45,29M 18S
28,47,28M 35S
30,47,28M 1S
30,49,27M 39S
33,49,26M 54S
33,51,26M 40S
33,53,26M 14S
33,56,25M 46S
35,56,25M 23S
35,58,25M 9S
37,58,24M 30S
38,58,24M 2S
39,58,24M 2S
40,58,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
42,58,23M 14S
44,58,22M 17S
44,60,21M 52S
44,62,21M 33S
46,62,21M 12S
46,64,20M 55S
47,64,20M 21S
48,64,20M 21S
48,66,20M 5S
50,66,18M 57S
50,68,18M 35S
50,70,17M 46S
52,70,17M 28S
53,70,17M 28S
54,70,16M 52S
55,70,16M 52S
58,70,15M 51S
58,72,15M 35S
59,72,15M 24S
60,72,15M 24S
60,75,14M 58S
60,78,13M 49S
61,78,13M 34S
64,78,13M 23S
64,79,12M 57S
64,80,12M 57S
66,80,12M 46S
67,80,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
69,80,11M 42S
72,80,11M 5S
74,80,10M 22S
77,80,10M 2S
79,80,9M 3S
79,82,8M 45S
81,82,8M 25S
81,84,7M 56S
81,87,7M 25S
81,89,7M 3S
83,89,6M 39S
85,89,6M 4S
88,89,5M 38S
90,89,5M 19S
92,89,4M 31S
94,89,3M 58S
95,89,3M 9S
96,89,3M 9S
98,89,2M 44S
98,90,2M 24S
101,90,1M 29S
101,91,1M 22S
103,91,57S
103,94,51S
104,94,31S
104,97,24S
104,99,8S
105,99,4S
106,99,4S
End of 4th quarter,NA,0S
