Chicago,Minnesota,time_rem
22-30,14-40,48M 0S
0,0,47M 44S
3,0,46M 13S
3,3,45M 9S
5,3,44M 45S
7,3,44M 21S
7,6,44M 2S
7,8,43M 28S
7,10,43M 5S
7,13,42M 26S
9,13,42M 8S
9,15,41M 50S
9,18,41M 22S
11,18,41M 7S
11,20,40M 52S
13,20,40M 31S
13,22,40M 14S
15,22,39M 48S
15,24,39M 29S
18,24,39M 14S
21,24,38M 16S
21,27,37M 57S
23,27,37M 29S
23,29,37M 14S
26,29,37M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,31,34M 52S
29,31,34M 36S
29,32,34M 24S
29,33,34M 24S
29,35,33M 59S
29,36,33M 59S
31,36,33M 48S
31,39,33M 36S
34,39,33M 20S
36,39,32M 49S
36,40,32M 17S
36,41,32M 17S
37,41,32M 3S
38,41,32M 3S
38,43,31M 22S
38,44,31M 22S
41,44,31M 11S
41,47,30M 49S
43,47,30M 21S
43,48,30M 14S
43,49,30M 14S
43,52,29M 39S
45,52,29M 24S
45,53,29M 12S
45,54,29M 12S
47,54,29M 5S
47,56,28M 45S
49,56,27M 59S
50,56,27M 59S
50,59,27M 45S
50,60,27M 18S
50,61,27M 18S
50,62,27M 0S
50,63,27M 0S
52,63,26M 43S
55,63,25M 54S
55,66,25M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,66,23M 29S
57,67,23M 6S
57,68,23M 6S
59,68,22M 49S
61,68,22M 19S
62,68,21M 29S
63,68,21M 29S
63,70,21M 16S
66,70,21M 3S
66,73,20M 7S
68,73,19M 53S
68,76,19M 32S
68,79,19M 1S
71,79,18M 47S
71,81,18M 25S
74,81,18M 2S
74,83,17M 18S
Jump ball: J. Okogie vs. C. White (N. Reid gains possession),NA,16M 14S
74,85,15M 55S
76,85,15M 7S
79,85,14M 32S
79,87,14M 16S
80,87,13M 47S
81,87,13M 47S
83,87,13M 28S
85,87,13M 20S
85,89,13M 12S
87,89,12M 51S
87,91,12M 38S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,93,11M 42S
87,94,11M 42S
89,94,11M 29S
92,94,10M 53S
92,95,10M 42S
92,96,10M 42S
92,98,10M 17S
94,98,9M 58S
96,98,9M 28S
97,98,7M 40S
97,101,6M 59S
97,102,6M 36S
97,103,6M 36S
99,103,6M 19S
102,103,5M 44S
Jump ball: K. Towns vs. N. Vučević (J. Okogie gains possession),NA,5M 23S
102,104,5M 19S
102,105,5M 19S
104,105,4M 43S
104,107,4M 25S
104,109,3M 58S
106,109,3M 47S
106,111,3M 36S
106,114,3M 11S
109,114,2M 55S
109,116,2M 39S
111,116,1M 45S
113,116,57S
113,119,44S
115,119,38S
117,119,11S
117,120,9S
117,121,9S
End of 4th quarter,NA,0S
