Miami,Charlotte,time_rem
35-30,31-33,48M 0S
2,0,47M 32S
4,0,47M 5S
4,2,46M 52S
6,2,46M 28S
6,4,45M 9S
6,6,44M 48S
8,6,44M 34S
8,8,44M 25S
10,8,44M 12S
10,11,43M 32S
10,13,43M 8S
12,13,42M 50S
14,13,41M 48S
16,13,41M 25S
16,16,41M 9S
19,16,40M 51S
19,17,40M 41S
22,17,40M 26S
22,19,40M 19S
23,19,40M 3S
24,19,40M 3S
24,21,39M 43S
26,21,39M 16S
26,23,39M 1S
28,23,38M 24S
30,23,37M 47S
30,25,37M 27S
32,25,37M 12S
32,27,36M 56S
32,29,36M 42S
32,30,36M 42S
32,31,36M 5S
32,32,36M 5S
34,32,36M 2S
35,32,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,33,35M 12S
35,34,35M 12S
37,34,34M 6S
37,36,33M 58S
40,36,33M 28S
40,38,33M 6S
42,38,32M 41S
44,38,32M 9S
44,40,31M 56S
45,40,31M 45S
46,40,31M 45S
46,42,31M 11S
49,42,30M 46S
49,45,29M 44S
50,45,29M 20S
51,45,29M 20S
51,46,29M 8S
51,47,29M 8S
53,47,28M 47S
54,47,28M 26S
55,47,28M 26S
55,50,28M 15S
55,51,27M 4S
57,51,26M 55S
59,51,26M 30S
61,51,25M 40S
61,52,25M 36S
61,53,25M 36S
62,53,25M 16S
63,53,25M 16S
65,53,24M 28S
65,56,24M 10S
65,58,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,61,23M 40S
65,63,23M 2S
66,63,22M 43S
67,63,22M 43S
69,63,22M 17S
72,63,21M 36S
72,66,21M 20S
73,66,21M 6S
73,67,20M 38S
73,68,20M 38S
76,68,20M 28S
79,68,19M 37S
79,70,18M 57S
80,70,18M 33S
80,73,18M 21S
83,73,17M 30S
85,73,17M 13S
85,75,17M 3S
87,75,16M 46S
87,78,16M 36S
88,78,16M 6S
90,78,16M 3S
91,78,16M 3S
93,78,15M 35S
93,79,15M 3S
95,79,14M 1S
95,80,13M 55S
96,80,13M 44S
97,80,12M 48S
98,80,12M 48S
100,80,12M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
100,83,11M 36S
102,83,10M 41S
104,83,10M 6S
106,83,9M 48S
106,84,9M 31S
109,84,9M 17S
109,87,9M 3S
111,87,8M 43S
111,89,8M 32S
114,89,7M 52S
114,91,7M 36S
116,91,6M 21S
116,94,6M 5S
118,94,5M 41S
118,96,5M 26S
118,99,4M 54S
118,101,4M 13S
118,103,2M 2S
118,105,1M 25S
118,108,45S
121,108,20S
121,110,7S
121,111,7S
End of 4th quarter,NA,0S
