Toronto,Boston,time_rem
12-14,13-11,48M 0S
0,2,47M 41S
0,4,47M 5S
0,7,46M 46S
2,7,45M 23S
2,9,45M 7S
2,12,44M 17S
4,12,44M 3S
4,15,43M 43S
6,15,43M 32S
6,17,43M 2S
8,17,42M 30S
10,17,42M 3S
10,20,41M 44S
12,20,41M 35S
14,20,41M 1S
14,21,40M 39S
14,22,40M 39S
16,22,40M 11S
17,22,39M 39S
18,22,39M 39S
18,23,39M 18S
18,24,39M 18S
20,24,38M 48S
21,24,38M 48S
21,26,38M 27S
21,29,38M 0S
22,29,37M 45S
23,29,37M 45S
23,32,37M 28S
25,32,37M 18S
26,32,36M 49S
27,32,36M 49S
27,34,36M 28S
29,34,36M 8S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,34,35M 44S
33,34,35M 10S
33,37,34M 52S
35,37,34M 39S
35,38,33M 42S
35,39,33M 42S
37,39,33M 15S
37,41,32M 54S
39,41,32M 39S
39,44,32M 25S
39,46,31M 13S
41,46,31M 1S
41,49,30M 41S
42,49,29M 52S
42,51,29M 31S
45,51,29M 14S
45,54,27M 55S
47,54,27M 39S
48,54,26M 50S
49,54,26M 50S
49,55,26M 36S
49,56,26M 36S
49,57,26M 8S
49,58,26M 8S
52,58,25M 52S
55,58,25M 16S
55,61,24M 59S
55,64,24M 42S
56,64,24M 38S
56,65,24M 32S
56,66,24M 32S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,68,23M 29S
56,70,23M 7S
58,70,22M 49S
58,72,22M 36S
60,72,22M 28S
63,72,22M 1S
63,75,21M 7S
64,75,20M 46S
64,77,20M 23S
66,77,19M 52S
66,80,19M 32S
68,80,19M 4S
68,83,18M 44S
71,83,18M 21S
71,86,17M 53S
73,86,17M 37S
75,86,17M 14S
77,86,16M 36S
77,88,12M 48S
80,88,12M 31S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,91,11M 43S
82,91,11M 22S
82,94,11M 0S
82,95,10M 50S
82,96,10M 50S
84,96,9M 53S
85,96,9M 53S
87,96,8M 16S
89,96,7M 39S
91,96,7M 17S
91,97,7M 1S
91,98,7M 1S
93,98,6M 40S
93,99,6M 21S
93,100,6M 21S
93,101,5M 54S
93,102,5M 54S
95,102,5M 44S
95,105,4M 42S
95,107,4M 13S
95,109,3M 10S
95,110,2M 37S
95,111,2M 37S
95,113,2M 16S
98,113,1M 54S
98,115,1M 44S
101,115,1M 36S
101,118,1M 4S
101,120,42S
104,120,36S
105,120,25S
106,120,25S
End of 4th quarter,NA,0S
