San Antonio,Utah,time_rem
31-33,47-18,48M 0S
0,2,47M 46S
0,5,47M 22S
2,5,47M 9S
2,7,46M 16S
4,7,45M 59S
4,10,45M 51S
6,10,44M 49S
6,12,44M 32S
6,13,44M 32S
8,13,43M 52S
8,15,43M 40S
10,15,43M 4S
10,17,42M 4S
12,17,41M 34S
12,19,41M 20S
14,19,41M 3S
14,22,40M 45S
16,22,40M 31S
16,24,40M 6S
16,26,39M 29S
17,26,39M 9S
18,26,39M 9S
18,27,37M 40S
18,29,37M 14S
20,29,37M 2S
22,29,36M 41S
22,31,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,33,35M 32S
24,33,35M 19S
26,33,34M 47S
26,34,34M 30S
28,34,34M 13S
29,34,34M 13S
29,36,33M 43S
31,36,32M 8S
31,38,31M 24S
33,38,31M 13S
33,40,30M 33S
35,40,30M 17S
35,43,29M 53S
35,45,29M 21S
35,47,28M 39S
37,47,28M 19S
37,49,27M 54S
37,52,27M 31S
39,52,27M 10S
39,54,26M 36S
39,57,26M 5S
41,57,25M 49S
41,59,25M 11S
41,60,24M 46S
43,60,24M 23S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
43,61,23M 34S
45,61,23M 19S
47,61,22M 45S
47,64,21M 51S
47,66,21M 19S
49,66,21M 2S
49,69,20M 35S
49,71,20M 5S
49,74,19M 30S
52,74,19M 7S
54,74,18M 42S
54,76,18M 0S
55,76,17M 50S
56,76,17M 50S
Jump ball: G. Dieng vs. J. Clarkson (D. DeRozan gains possession),NA,17M 34S
58,76,17M 24S
58,78,17M 4S
60,78,16M 32S
60,79,16M 20S
60,80,16M 20S
62,80,15M 35S
62,81,15M 28S
62,82,15M 28S
62,83,14M 53S
62,85,14M 17S
65,85,14M 3S
67,85,13M 30S
67,87,13M 15S
69,87,12M 58S
70,87,12M 58S
70,89,12M 45S
72,89,12M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,89,10M 50S
74,91,10M 33S
74,92,10M 33S
74,94,10M 9S
77,94,9M 32S
80,94,8M 53S
80,97,8M 34S
82,97,8M 15S
82,99,7M 48S
83,99,6M 50S
84,99,6M 50S
86,99,5M 41S
86,101,5M 22S
88,101,5M 11S
88,104,4M 51S
90,104,4M 35S
92,104,4M 5S
92,106,3M 38S
92,108,2M 41S
92,110,1M 32S
94,110,1M 21S
97,110,52S
98,110,22S
99,110,22S
End of 4th quarter,NA,0S
