Brooklyn,Houston,time_rem
24-13,11-23,48M 0S
3,0,47M 44S
3,2,46M 39S
6,2,46M 23S
6,5,46M 12S
6,8,45M 11S
8,8,44M 35S
8,11,43M 47S
11,11,43M 4S
11,13,42M 44S
13,13,42M 29S
15,13,41M 48S
15,14,41M 23S
15,15,41M 23S
18,15,40M 17S
20,15,39M 56S
20,17,39M 38S
20,19,39M 14S
22,19,39M 2S
25,19,38M 23S
25,22,37M 59S
25,25,37M 24S
27,25,37M 14S
27,27,37M 5S
30,27,36M 54S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,27,35M 37S
32,30,35M 2S
32,32,34M 42S
33,32,34M 29S
34,32,34M 29S
35,32,34M 29S
36,32,33M 57S
37,32,33M 57S
37,34,33M 36S
39,34,33M 25S
39,36,32M 53S
41,36,32M 44S
41,38,32M 22S
42,38,32M 8S
43,38,32M 8S
45,38,31M 51S
Jump ball: J. Patton vs. J. Harden (B. McLemore gains possession),NA,31M 29S
45,39,31M 24S
47,39,31M 10S
50,39,30M 45S
50,40,30M 33S
52,40,30M 21S
54,40,29M 50S
54,41,29M 6S
54,42,29M 6S
54,43,28M 51S
54,44,28M 51S
55,44,28M 34S
56,44,28M 34S
56,47,28M 20S
58,47,28M 4S
58,49,27M 38S
60,49,27M 26S
60,52,27M 9S
62,52,26M 49S
64,52,26M 18S
64,53,25M 25S
64,54,25M 25S
65,54,24M 47S
67,54,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
69,54,23M 28S
69,55,23M 8S
69,56,23M 8S
72,56,22M 44S
74,56,22M 0S
74,59,21M 37S
75,59,21M 16S
76,59,20M 50S
77,59,20M 50S
79,59,20M 13S
80,59,20M 13S
82,59,19M 35S
82,62,19M 16S
82,63,18M 51S
82,66,18M 35S
85,66,18M 20S
85,68,17M 18S
85,70,16M 40S
87,70,16M 21S
87,73,16M 8S
89,73,15M 44S
90,73,15M 20S
90,74,15M 13S
90,75,15M 13S
90,77,14M 41S
90,80,14M 25S
92,80,14M 1S
95,80,13M 34S
98,80,13M 8S
98,81,12M 50S
98,82,12M 25S
98,83,12M 25S
101,83,12M 9S
101,85,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
103,85,11M 28S
103,87,11M 13S
105,87,10M 55S
105,89,10M 40S
105,92,10M 7S
105,95,9M 31S
105,97,7M 55S
108,97,7M 38S
110,97,7M 13S
113,97,6M 48S
113,100,6M 24S
114,100,5M 55S
115,100,5M 55S
117,100,5M 19S
117,101,5M 3S
120,101,4M 43S
120,102,4M 35S
123,102,4M 22S
123,104,4M 9S
125,104,3M 51S
125,107,3M 40S
127,107,3M 27S
127,109,3M 1S
129,109,2M 37S
129,111,1M 44S
132,111,21S
132,114,14S
End of 4th quarter,NA,0S
