Orlando,San Antonio,time_rem
13-25,19-15,48M 0S
0,0,47M 48S
2,0,47M 5S
5,0,46M 32S
6,0,45M 46S
7,0,45M 46S
7,2,45M 34S
10,2,44M 13S
10,4,43M 51S
10,5,43M 37S
12,5,43M 16S
15,5,42M 52S
15,7,42M 30S
17,7,42M 14S
17,9,41M 59S
19,9,41M 40S
19,11,41M 30S
19,13,40M 55S
22,13,39M 45S
22,16,39M 35S
24,16,38M 44S
26,16,37M 55S
29,16,37M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,17,34M 35S
29,18,34M 35S
29,21,34M 7S
31,21,33M 44S
31,22,33M 5S
31,23,33M 5S
31,26,32M 39S
31,29,32M 12S
31,31,31M 11S
33,31,29M 53S
35,31,29M 31S
35,33,29M 18S
37,33,28M 54S
37,35,28M 34S
37,37,27M 12S
37,39,26M 46S
37,41,25M 48S
37,42,25M 40S
37,43,25M 8S
39,43,24M 55S
39,45,24M 34S
39,46,24M 15S
39,47,24M 15S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
39,49,23M 41S
39,51,22M 35S
39,53,22M 16S
40,53,21M 59S
41,53,21M 59S
42,53,21M 59S
45,53,21M 35S
45,54,19M 24S
48,54,19M 10S
50,54,18M 36S
50,56,18M 24S
53,56,17M 39S
53,59,17M 3S
55,59,16M 34S
55,61,16M 22S
58,61,16M 5S
58,64,15M 47S
58,66,15M 12S
60,66,14M 36S
60,68,14M 16S
62,68,13M 58S
62,71,13M 45S
62,74,13M 18S
64,74,12M 24S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
64,76,11M 44S
64,78,11M 21S
64,81,10M 30S
64,83,9M 55S
66,83,9M 39S
66,86,8M 59S
66,88,8M 20S
66,89,8M 20S
66,90,7M 17S
66,91,7M 17S
69,91,7M 6S
69,93,6M 18S
70,93,5M 50S
71,93,5M 50S
71,95,5M 31S
72,95,5M 13S
73,95,5M 13S
73,97,4M 53S
73,99,3M 35S
73,100,3M 35S
73,102,2M 59S
75,102,2M 43S
77,102,2M 11S
77,104,1M 46S
End of 4th quarter,NA,0S
