Chicago,LA Clippers,time_rem
4-7,7-4,48M 0S
0,0,47M 39S
0,2,47M 9S
2,2,46M 52S
2,3,46M 24S
5,3,46M 9S
5,5,45M 15S
7,5,45M 4S
10,5,44M 16S
12,5,43M 53S
12,7,43M 38S
15,7,43M 25S
17,7,42M 58S
19,7,42M 34S
19,10,41M 51S
20,10,41M 35S
20,12,41M 7S
20,14,40M 33S
20,17,40M 10S
21,17,39M 54S
22,17,39M 54S
22,19,39M 8S
24,19,38M 26S
25,19,38M 26S
27,19,37M 51S
30,19,36M 45S
31,19,36M 24S
31,22,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,22,35M 22S
35,22,34M 38S
35,24,34M 27S
35,25,34M 27S
35,27,34M 12S
35,29,33M 13S
35,32,32M 37S
38,32,32M 24S
38,33,32M 14S
40,33,31M 55S
40,36,31M 16S
42,36,30M 53S
44,36,30M 17S
44,39,30M 0S
44,40,29M 23S
44,41,29M 23S
47,41,29M 1S
47,43,28M 47S
47,46,28M 25S
50,46,28M 7S
50,48,27M 2S
52,48,26M 32S
55,48,25M 59S
55,51,25M 28S
57,51,25M 7S
57,52,24M 11S
59,52,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,52,23M 41S
61,52,23M 41S
61,54,23M 29S
61,56,23M 14S
63,56,23M 1S
63,59,22M 39S
66,59,22M 20S
66,62,21M 53S
69,62,21M 39S
69,64,21M 24S
71,64,21M 15S
71,67,21M 2S
74,67,20M 20S
74,70,20M 4S
77,70,19M 53S
77,73,19M 42S
77,75,19M 6S
77,77,18M 16S
80,77,18M 1S
80,80,17M 50S
80,83,17M 23S
82,83,17M 9S
82,85,16M 59S
85,85,16M 47S
87,85,15M 22S
87,87,15M 1S
89,87,14M 33S
91,87,14M 1S
91,90,13M 43S
94,90,13M 28S
94,92,12M 44S
94,94,12M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,95,11M 47S
97,95,11M 29S
97,96,11M 13S
97,97,11M 13S
97,98,11M 13S
99,98,10M 59S
99,100,10M 48S
99,103,10M 27S
100,103,10M 10S
101,103,10M 10S
103,103,9M 43S
103,106,9M 24S
103,109,8M 52S
105,109,8M 33S
106,109,7M 39S
107,109,7M 39S
107,111,7M 25S
110,111,7M 12S
110,113,6M 33S
110,114,5M 25S
110,115,5M 25S
112,115,5M 11S
112,116,4M 29S
112,117,4M 29S
114,117,4M 15S
115,117,3M 33S
116,117,3M 33S
116,118,3M 21S
118,118,3M 3S
119,118,3M 3S
119,121,2M 30S
119,122,2M 30S
119,124,1M 30S
Jump ball: K. Leonard vs. P. Williams (C. White gains possession),NA,1M 15S
119,126,56S
121,126,49S
122,126,49S
125,126,18S
125,127,15S
125,128,15S
125,129,5S
125,130,5S
127,130,0S
End of 4th quarter,NA,0S
