Indiana,Dallas,time_rem
21-23,23-20,48M 0S
0,2,47M 34S
3,2,46M 53S
3,5,46M 40S
5,5,46M 24S
5,7,45M 36S
8,7,45M 20S
8,9,45M 9S
11,9,44M 56S
11,11,44M 37S
11,13,43M 48S
13,13,43M 18S
13,14,41M 36S
13,15,41M 36S
15,15,41M 18S
15,17,41M 0S
15,20,40M 13S
18,20,39M 56S
19,20,39M 20S
22,20,38M 58S
22,23,38M 29S
22,25,37M 59S
24,25,37M 52S
24,27,37M 37S
26,27,37M 12S
29,27,36M 34S
29,29,36M 8S
31,29,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,31,35M 10S
34,31,34M 56S
37,31,34M 21S
37,33,33M 49S
40,33,33M 42S
40,35,33M 28S
40,36,33M 28S
41,36,33M 10S
42,36,33M 10S
45,36,32M 48S
45,38,32M 24S
48,38,32M 4S
51,38,31M 14S
52,38,29M 32S
52,39,29M 20S
54,39,28M 37S
54,41,28M 13S
55,41,27M 37S
56,41,27M 7S
56,44,26M 45S
57,44,25M 19S
58,44,25M 19S
58,46,25M 4S
61,46,24M 48S
61,48,24M 29S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,50,23M 35S
64,50,23M 23S
64,52,23M 3S
66,52,22M 21S
69,52,21M 43S
69,54,20M 53S
69,56,20M 12S
Jump ball: D. Finney,Smith vs. D. Sabonis (M. Kleber gains possession),19M 44S
69,59,19M 5S
72,59,18M 28S
72,61,18M 5S
72,64,17M 35S
74,64,16M 45S
74,66,16M 11S
74,68,15M 9S
76,68,14M 39S
78,68,14M 28S
80,68,13M 55S
80,70,13M 33S
80,72,12M 53S
82,72,12M 38S
82,75,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,78,11M 39S
84,78,11M 22S
84,80,10M 15S
86,80,10M 1S
89,80,9M 30S
89,82,7M 24S
91,82,7M 3S
94,82,6M 12S
96,82,5M 41S
97,82,5M 15S
98,82,5M 15S
98,83,5M 3S
98,84,5M 3S
101,84,4M 40S
102,84,4M 8S
102,86,3M 54S
103,86,3M 34S
104,86,3M 34S
107,86,2M 54S
107,87,1M 38S
107,88,1M 38S
109,88,59S
109,90,49S
109,92,25S
109,94,14S
End of 4th quarter,NA,0S
